p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	threshold
CHML	3.88609590758926e-128	-2.38101431506348	0.089	0.33	7.00041316793129e-124	Myeloid cell	CHML	Down
CENPF	1.35838284192487e-127	-2.53934907161259	0.086	0.324	2.44699085144346e-123	Myeloid cell	CENPF	Down
NCL	1.72500961966413e-122	-1.13314406619373	0.52	0.783	3.10743232886297e-118	Myeloid cell	NCL	Down
DUSP6	9.32140399017496e-122	2.9466768108149	0.421	0.084	1.67915771479012e-117	Myeloid cell	DUSP6	Up
RNASE2	6.96370755905815e-121	-1.06049791834421	0.467	0.77	1.25444227968874e-116	Myeloid cell	RNASE2	Down
PDE4B	1.17438336999064e-120	-1.93852198922887	0.072	0.298	2.11553420270114e-116	Myeloid cell	PDE4B	Down
TOP2A	2.50233634200231e-119	-2.58576044205728	0.075	0.296	4.50770868648295e-115	Myeloid cell	TOP2A	Down
JDP2	4.54495553186986e-119	-2.32551475683741	0.054	0.256	8.18728289511036e-115	Myeloid cell	JDP2	Down
HIST1H4C	5.89502850314134e-118	-2.62009004694901	0.32	0.599	1.06193043455588e-113	Myeloid cell	HIST1H4C	Down
TXNIP	1.3489796253604e-117	1.46357628673229	0.745	0.514	2.43005189712423e-113	Myeloid cell	TXNIP	Up
SNHG5	1.51174054176665e-116	-0.964733165255248	0.576	0.825	2.72324941193844e-112	Myeloid cell	SNHG5	Down
HIST1H2AJ	6.55526232663778e-116	-3.26886580268705	0.032	0.199	1.18086495552053e-111	Myeloid cell	HIST1H2AJ	Down
NEAT1	1.31577311736312e-113	2.12205961711655	0.619	0.32	2.37023369361792e-109	Myeloid cell	NEAT1	Up
RPS14P3	1.97328420760933e-113	-0.830134249027885	0.672	0.884	3.55467417158744e-109	Myeloid cell	RPS14P3	Down
MALAT1	3.71962465221562e-111	1.17082584354983	0.995	0.994	6.70053184850123e-107	Myeloid cell	MALAT1	Up
SAP30	1.16829430097194e-110	-1.51400411740011	0.163	0.438	2.10456535377084e-106	Myeloid cell	SAP30	Down
SGK1	2.94481246962042e-107	-2.14108588517157	0.063	0.263	5.30478518277423e-103	Myeloid cell	SGK1	Down
RPS29	9.40681258830939e-107	-0.528515854586081	0.981	0.993	1.69454321965805e-102	Myeloid cell	RPS29	Down
TYROBP	9.28785179027497e-105	1.01156173178996	0.783	0.531	1.67311362150013e-100	Myeloid cell	TYROBP	Up
APP	7.53431435012238e-104	-2.3675504399837	0.038	0.205	1.35723138703105e-99	Myeloid cell	APP	Down
FAM111B	2.47274756121529e-103	-4.12075667515712	0.007	0.116	4.45440745677323e-99	Myeloid cell	FAM111B	Down
PCLAF	3.30446423925381e-103	-1.72335361440484	0.094	0.318	5.95266188059181e-99	Myeloid cell	PCLAF	Down
NUCKS1	2.03037183720416e-101	-1.37101119358765	0.306	0.579	3.65751182753958e-97	Myeloid cell	NUCKS1	Down
NDUFS5	6.9061994080403e-100	-1.22656021550957	0.288	0.574	1.24408276136438e-95	Myeloid cell	NDUFS5	Down
IRS2	6.75454092262081e-97	-1.31660618384884	0.23	0.506	1.21676300180091e-92	Myeloid cell	IRS2	Down
TMPO	1.16798456219757e-96	-1.24261648361908	0.284	0.566	2.1040073903427e-92	Myeloid cell	TMPO	Down
NASP	3.67085944822652e-96	-1.47355393276686	0.212	0.471	6.61268621003526e-92	Myeloid cell	NASP	Down
GRASP	4.714913916781e-96	-3.55344390149837	0.009	0.116	8.49344592968929e-92	Myeloid cell	GRASP	Down
CENPU	9.70546848115074e-96	-1.89143731830304	0.081	0.283	1.74834309219449e-91	Myeloid cell	CENPU	Down
OSM	2.64437873690292e-93	-3.68496262017982	0.009	0.112	4.76358385665691e-89	Myeloid cell	OSM	Down
TRMT6	1.42210358785119e-92	-1.96482034227364	0.088	0.289	2.56177740315513e-88	Myeloid cell	TRMT6	Down
PCNA	3.26388742785525e-92	-1.86709675615136	0.085	0.286	5.87956681253845e-88	Myeloid cell	PCNA	Down
RPL21	4.448108793634e-92	-0.476567842140939	0.985	0.999	8.01282318085229e-88	Myeloid cell	RPL21	Down
VMP1	9.04545852196866e-90	2.16525503052947	0.447	0.167	1.62944889814743e-85	Myeloid cell	VMP1	Up
RASGEF1B	1.2469123772155e-89	-2.00750367629663	0.069	0.253	2.24618795631599e-85	Myeloid cell	RASGEF1B	Down
RPLP0P2	2.11552057092619e-88	-0.942465479661019	0.447	0.709	3.81089875646644e-84	Myeloid cell	RPLP0P2	Down
NUSAP1	1.25648228985971e-87	-1.96903334685583	0.091	0.288	2.26342719695328e-83	Myeloid cell	NUSAP1	Down
MT-ND5	1.88912767828439e-86	-0.726545480460865	0.71	0.895	3.40307459966151e-82	Myeloid cell	MT-ND5	Down
PRTN3	7.89584062684001e-86	-2.58639432329966	0.032	0.17	1.42235673051896e-81	Myeloid cell	PRTN3	Down
MAP3K8	1.3810769865841e-85	-1.60402847005374	0.147	0.371	2.4878720836326e-81	Myeloid cell	MAP3K8	Down
RETN	2.46202152309213e-85	-1.64834198768567	0.109	0.317	4.43508557169816e-81	Myeloid cell	RETN	Down
HLA-E	4.86086898166533e-85	1.11948922454684	0.688	0.444	8.75636938357192e-81	Myeloid cell	HLA-E	Up
PLBD1	7.80253620574628e-85	-1.5026417754439	0.151	0.382	1.40554887210314e-80	Myeloid cell	PLBD1	Down
HNRNPA1	4.68663686139364e-84	-0.745317594937832	0.601	0.835	8.4425076421145e-80	Myeloid cell	HNRNPA1	Down
MCM6	7.93945024827768e-84	-2.18159600852566	0.044	0.197	1.43021256772474e-79	Myeloid cell	MCM6	Down
LMNA	8.77631530011602e-84	2.85284796104294	0.311	0.056	1.5809654381629e-79	Myeloid cell	LMNA	Up
PLIN2	9.05268900597448e-84	3.05688751661293	0.372	0.111	1.63075139753624e-79	Myeloid cell	PLIN2	Up
LMNB1	1.66297667383497e-83	-1.64057559676992	0.126	0.339	2.99568618024631e-79	Myeloid cell	LMNB1	Down
GPR183	3.89514750984498e-83	-1.1187592665758	0.226	0.482	7.01671872423475e-79	Myeloid cell	GPR183	Down
FABP5	7.14601693296392e-83	-1.44198931256678	0.19	0.424	1.28728349030412e-78	Myeloid cell	FABP5	Down
ASPM	8.46740589490717e-82	-2.72936978228383	0.038	0.179	1.52531849790858e-77	Myeloid cell	ASPM	Down
KLF9	1.14753970109193e-81	-1.61511590544693	0.107	0.31	2.067178017547e-77	Myeloid cell	KLF9	Down
RPL41	5.50598789451282e-81	-0.454107564669072	0.975	0.994	9.9184865931754e-77	Myeloid cell	RPL41	Down
SYAP1	7.70301003481929e-81	-1.68825860383318	0.167	0.388	1.38762022767235e-76	Myeloid cell	SYAP1	Down
RANBP1	1.73733964101064e-80	-1.45013975813155	0.151	0.374	3.12964362931657e-76	Myeloid cell	RANBP1	Down
ANP32B	4.00136071152254e-80	-1.05192262560634	0.338	0.593	7.20805118573671e-76	Myeloid cell	ANP32B	Down
RPL21P28	4.61096800921343e-80	-1.09066217122505	0.309	0.564	8.30619777179707e-76	Myeloid cell	RPL21P28	Down
FCAR	2.46238871343696e-79	-2.44293121769107	0.039	0.18	4.43574702838534e-75	Myeloid cell	FCAR	Down
MNDA	1.57482739161644e-78	-0.783204866372366	0.688	0.876	2.83689406325786e-74	Myeloid cell	MNDA	Down
FAM105A	2.00152648133035e-76	-1.54570825271877	0.106	0.3	3.6055498034685e-72	Myeloid cell	FAM105A	Down
CBX3	6.89481519367709e-76	-0.914517563582617	0.409	0.658	1.24203200898899e-71	Myeloid cell	CBX3	Down
LGALS3	2.70474218851151e-75	1.58771587401482	0.465	0.201	4.87232257838464e-71	Myeloid cell	LGALS3	Up
C12orf75	7.80760655602986e-75	-2.80649828149331	0.02	0.129	1.40646224500322e-70	Myeloid cell	C12orf75	Down
BIRC5	2.85967492881961e-74	-2.33771521044294	0.034	0.164	5.15141841677565e-70	Myeloid cell	BIRC5	Down
UBC	9.11428572045113e-73	1.02876531183746	0.782	0.665	1.64184742968207e-68	Myeloid cell	UBC	Up
RBM3	1.7066419239827e-72	-0.889767863052751	0.425	0.67	3.07434476186244e-68	Myeloid cell	RBM3	Down
BASP1	2.14784794029019e-72	-1.65563969843772	0.109	0.296	3.86913327963875e-68	Myeloid cell	BASP1	Down
USP1	3.4924828924765e-72	-1.3690667589619	0.151	0.361	6.29135868250716e-68	Myeloid cell	USP1	Down
MT-ND6	1.23855872748216e-71	-0.832519174695707	0.491	0.728	2.23113969168636e-67	Myeloid cell	MT-ND6	Down
PKP2	4.77188938888439e-71	-4.98979190702263	0.002	0.066	8.59608154513634e-67	Myeloid cell	PKP2	Down
RNF144B	1.30626536631418e-70	-2.14131799763943	0.044	0.18	2.35310643087836e-66	Myeloid cell	RNF144B	Down
TUBA1B	1.37666261660319e-70	-1.16994945716485	0.242	0.471	2.47992003754899e-66	Myeloid cell	TUBA1B	Down
NOP58	2.33878386889631e-70	-1.31709153831709	0.194	0.409	4.21308526142982e-66	Myeloid cell	NOP58	Down
CLSPN	2.7538952639044e-70	-1.86378402211053	0.065	0.221	4.96086692839739e-66	Myeloid cell	CLSPN	Down
DNAJC9	7.33772733255974e-70	-1.62861640970968	0.095	0.272	1.32181820168731e-65	Myeloid cell	DNAJC9	Down
FPR2	1.74027596511229e-69	-3.59257568483103	0.008	0.09	3.13493312355328e-65	Myeloid cell	FPR2	Down
RPS6	1.76237160027007e-69	-0.384070961916118	0.997	1	3.1747362007265e-65	Myeloid cell	RPS6	Down
KIF11	6.83576014871408e-69	-2.1296361925918	0.047	0.185	1.23139383318935e-64	Myeloid cell	KIF11	Down
HNRNPA3	1.15387087891818e-68	-0.851480221246188	0.444	0.68	2.07858300128321e-64	Myeloid cell	HNRNPA3	Down
HIST1H1D	1.85463497290948e-68	-1.16596285594962	0.2	0.423	3.34093944019915e-64	Myeloid cell	HIST1H1D	Down
RPS26	4.84586431913546e-68	-0.835071524984342	0.383	0.634	8.72933998449062e-64	Myeloid cell	RPS26	Down
S100A8	1.00391905778703e-67	-1.1049264871634	0.747	0.885	1.80845979069755e-63	Myeloid cell	S100A8	Down
CEP55	1.35752912644277e-67	-2.81975939821853	0.018	0.116	2.445452968374e-63	Myeloid cell	CEP55	Down
HBEGF	2.0755956888097e-67	-1.68256339500704	0.078	0.24	3.73897807382178e-63	Myeloid cell	HBEGF	Down
TRMT5	5.5779818990351e-67	-1.7049384665487	0.071	0.228	1.00481765929218e-62	Myeloid cell	TRMT5	Down
HSP90B1	6.28172313266958e-67	-0.785965687079437	0.629	0.811	1.1315896051191e-62	Myeloid cell	HSP90B1	Down
NLRP3	7.49729597428817e-66	-1.6302092167504	0.086	0.251	1.35056289680827e-61	Myeloid cell	NLRP3	Down
TFRC	1.9639021124828e-65	-1.74804570704425	0.085	0.249	3.53777326542652e-61	Myeloid cell	TFRC	Down
MARCKS	2.82662579432618e-64	2.73275885973407	0.279	0.067	5.09188370589918e-60	Myeloid cell	MARCKS	Up
HSP90AA1	2.98140476097233e-64	-0.744443384390884	0.652	0.809	5.37070253641555e-60	Myeloid cell	HSP90AA1	Down
RNASE3	5.64691932463533e-64	-1.39811249008689	0.126	0.312	1.01723604713981e-59	Myeloid cell	RNASE3	Down
SNRPE	6.35630398078466e-64	-1.11420916879578	0.219	0.438	1.14502459909855e-59	Myeloid cell	SNRPE	Down
SH3BP5	1.07141613458941e-63	-2.05592650640879	0.045	0.175	1.93004902484936e-59	Myeloid cell	SH3BP5	Down
IRF2BP2	1.75127319719556e-63	1.44030823952482	0.497	0.276	3.15474353742808e-59	Myeloid cell	IRF2BP2	Up
NR4A2	1.75141015603451e-63	-1.73509134099	0.075	0.229	3.15499025508056e-59	Myeloid cell	NR4A2	Down
ANP32E	2.94194781163367e-63	-1.22772240692678	0.27	0.483	5.29962478787689e-59	Myeloid cell	ANP32E	Down
DLGAP5	3.42401141062723e-63	-3.17283082570116	0.015	0.103	6.1680141551039e-59	Myeloid cell	DLGAP5	Down
CENPE	3.75579631673267e-63	-2.35883850200869	0.043	0.168	6.76569148496224e-59	Myeloid cell	CENPE	Down
SMC2	9.09142380723656e-63	-1.62780862850115	0.079	0.236	1.63772908463559e-58	Myeloid cell	SMC2	Down
RILPL2	1.34052292983442e-62	-1.07226514905583	0.263	0.484	2.41481800580372e-58	Myeloid cell	RILPL2	Down
TUBB	1.54954746843447e-62	-1.49165675905485	0.199	0.391	2.79135480963786e-58	Myeloid cell	TUBB	Down
CXCL8	1.8563464520925e-62	3.59996457373283	0.256	0.053	3.34402249879943e-58	Myeloid cell	CXCL8	Up
GMNN	2.32944618518619e-62	-2.00735027840694	0.053	0.187	4.1962643579944e-58	Myeloid cell	GMNN	Down
HSPE1	4.91513964739414e-62	-1.24387345662989	0.152	0.346	8.85413256081581e-58	Myeloid cell	HSPE1	Down
MCM4	7.9479864584665e-62	-1.52728745433571	0.083	0.242	1.43175028062816e-57	Myeloid cell	MCM4	Down
PLD3	9.53403642009607e-62	2.66409738340336	0.261	0.057	1.71746132071611e-57	Myeloid cell	PLD3	Up
HOXA9	1.04922836424947e-61	4.20376865361134	0.197	0.014	1.890079975359e-57	Myeloid cell	HOXA9	Up
YWHAB	1.8129886118104e-60	-0.635748224681761	0.621	0.819	3.26591768531526e-56	Myeloid cell	YWHAB	Down
WEE1	3.4109929485043e-60	-2.71427856190715	0.017	0.107	6.14456269743565e-56	Myeloid cell	WEE1	Down
YBX1	6.82754539185379e-60	-0.450499124527391	0.897	0.965	1.22991402688854e-55	Myeloid cell	YBX1	Down
FTL	3.32791642738186e-59	0.653359033879059	0.974	0.971	5.99490865228568e-55	Myeloid cell	FTL	Up
PLEK	4.128147226459e-59	1.23122747307055	0.57	0.372	7.43644441374325e-55	Myeloid cell	PLEK	Up
CDCA7L	6.0613333369551e-59	-1.92739199960986	0.054	0.185	1.09188858731909e-54	Myeloid cell	CDCA7L	Down
B3GNT5	6.27774418049e-58	-1.74100750204868	0.06	0.196	1.13087283667347e-53	Myeloid cell	B3GNT5	Down
CKAP4	1.79409951963642e-56	-1.7155373736879	0.086	0.235	3.23189087467305e-52	Myeloid cell	CKAP4	Down
DPYSL2	2.04747821656603e-56	-0.963948184035957	0.222	0.432	3.68832725932204e-52	Myeloid cell	DPYSL2	Down
CCNA2	5.19613528427059e-56	-2.25532781872243	0.032	0.138	9.36031810108504e-52	Myeloid cell	CCNA2	Down
SLC16A6	7.89517912362957e-56	-3.57709834821209	0.005	0.066	1.42223756733063e-51	Myeloid cell	SLC16A6	Down
PDE4D	1.96631691878794e-55	-1.49727349632699	0.115	0.279	3.54212329750459e-51	Myeloid cell	PDE4D	Down
CRIP1	2.50362974503947e-55	1.76712831296314	0.432	0.228	4.5100386227141e-51	Myeloid cell	CRIP1	Up
HELLS	2.71695878756174e-55	-1.92330619953861	0.041	0.157	4.89432955991372e-51	Myeloid cell	HELLS	Down
KCNJ3	5.01752657726293e-55	-0.941166702274039	0.277	0.49	9.03857237628144e-51	Myeloid cell	KCNJ3	Down
RPL36A	1.81901105252561e-54	-0.38832810309296	0.958	0.984	3.27676651001964e-50	Myeloid cell	RPL36A	Down
CDKN3	1.98836901977844e-54	-2.61524918597185	0.02	0.108	3.58184795222888e-50	Myeloid cell	CDKN3	Down
BHLHE40	1.15994257431294e-53	-1.50925126179124	0.07	0.208	2.08952055336733e-49	Myeloid cell	BHLHE40	Down
RPS23	1.79764419288081e-53	-0.376891767094015	0.971	0.987	3.2382762490555e-49	Myeloid cell	RPS23	Down
RPL23	4.63330122981123e-53	-0.461049408128068	0.951	0.978	8.34642883538195e-49	Myeloid cell	RPL23	Down
RAD51AP1	9.26322533874658e-53	-1.99923593929173	0.037	0.145	1.66867741252181e-48	Myeloid cell	RAD51AP1	Down
HSPD1	1.06381047790513e-52	-0.894251708999589	0.31	0.515	1.9163481948983e-48	Myeloid cell	HSPD1	Down
NDUFB1	1.39397788276478e-52	-0.895844471733997	0.293	0.501	2.51111175801248e-48	Myeloid cell	NDUFB1	Down
CTSD	1.73202836452392e-52	1.5129617311868	0.392	0.185	3.12007589585339e-48	Myeloid cell	CTSD	Up
UQCRQ	2.56723186818302e-52	-0.836436457658959	0.373	0.579	4.62461148734489e-48	Myeloid cell	UQCRQ	Down
IVNS1ABP	3.13828215581022e-52	-1.40125429285709	0.104	0.259	5.65330147547653e-48	Myeloid cell	IVNS1ABP	Down
SNRPD1	3.7384668244601e-52	-1.16258862454215	0.157	0.335	6.73447413758242e-48	Myeloid cell	SNRPD1	Down
HIST1H1B	5.83039983732396e-52	-1.98677313331107	0.134	0.291	1.05028822669554e-47	Myeloid cell	HIST1H1B	Down
PTTG1	7.30288848634764e-52	-2.09046380185007	0.045	0.158	1.31554233193066e-47	Myeloid cell	PTTG1	Down
FAM107B	1.35997427052089e-51	-0.920578809144458	0.289	0.494	2.44985765091633e-47	Myeloid cell	FAM107B	Down
ATP5I	1.39271063142227e-51	-0.842722406582696	0.309	0.52	2.50882893144407e-47	Myeloid cell	ATP5I	Down
CITED2	2.35072027021588e-51	2.44662220288162	0.251	0.069	4.23458749476689e-47	Myeloid cell	CITED2	Up
GLUL	2.97889983961499e-51	-0.905790971369476	0.28	0.481	5.36619017108245e-47	Myeloid cell	GLUL	Down
H3F3AP4	6.17320547514993e-51	-0.609586183515505	0.554	0.737	1.11204123429351e-46	Myeloid cell	H3F3AP4	Down
ITM2B	7.0083579360816e-51	0.989035267901268	0.552	0.346	1.26248559860574e-46	Myeloid cell	ITM2B	Up
FPR1	1.30148308939874e-50	-1.49126046869639	0.092	0.237	2.34449163724289e-46	Myeloid cell	FPR1	Down
NR4A3	1.45003305126065e-50	-3.29782248331943	0.004	0.059	2.61208953854094e-46	Myeloid cell	NR4A3	Down
SERPINB10	2.03704928011909e-50	-1.16129821790688	0.166	0.344	3.66954057320652e-46	Myeloid cell	SERPINB10	Down
MT-COX1	3.51322289043191e-50	-0.318888022006838	0.978	0.999	6.32871971482404e-46	Myeloid cell	MT-COX1	Down
HNRNPM	3.55144771195044e-50	-0.867688476566442	0.302	0.507	6.39757790830752e-46	Myeloid cell	HNRNPM	Down
KIF15	3.98844361436937e-50	-2.40281023866482	0.021	0.105	7.18478232692499e-46	Myeloid cell	KIF15	Down
PA2G4	9.2185827081678e-50	-0.978422292085318	0.252	0.446	1.66063548904935e-45	Myeloid cell	PA2G4	Down
CDK1	1.59960216886413e-49	-2.27230821443069	0.027	0.119	2.88152334699185e-45	Myeloid cell	CDK1	Down
HMGN1	1.7198025373988e-49	-0.753928021429056	0.381	0.585	3.09805229087021e-45	Myeloid cell	HMGN1	Down
EZR	1.89811068117604e-49	-1.02737508983079	0.217	0.405	3.41925658107051e-45	Myeloid cell	EZR	Down
RPL22	2.11613752258475e-49	-0.440552092464759	0.858	0.938	3.81201013318417e-45	Myeloid cell	RPL22	Down
NAMPT	2.51695468536351e-49	-1.02614886735769	0.302	0.496	4.53404217021383e-45	Myeloid cell	NAMPT	Down
HNRNPR	2.579544038391e-49	-0.93157411165249	0.277	0.475	4.64679063075754e-45	Myeloid cell	HNRNPR	Down
MT-COX3	2.9265387854637e-49	-0.361876703941335	0.833	0.954	5.27186696813431e-45	Myeloid cell	MT-COX3	Down
CKS1B	3.28338842311162e-49	-1.7093394518855	0.071	0.201	5.91469590539328e-45	Myeloid cell	CKS1B	Down
IGLL5	3.62503027057761e-49	-3.3972162221916	0.005	0.06	6.5301295294185e-45	Myeloid cell	IGLL5	Down
EIF4A2	4.69272384603239e-49	1.28274054675171	0.415	0.21	8.45347273624275e-45	Myeloid cell	EIF4A2	Up
LSM3	6.92998517789519e-49	-1.01840940353755	0.219	0.408	1.24836752994604e-44	Myeloid cell	LSM3	Down
TNFAIP2	7.01835761407335e-49	1.47055021656183	0.398	0.199	1.26428694059917e-44	Myeloid cell	TNFAIP2	Up
UBB	4.0701158674753e-48	0.835980908814856	0.661	0.504	7.33190672367e-44	Myeloid cell	UBB	Up
SCPEP1	6.0468606630166e-48	1.38382034315366	0.376	0.178	1.08928147983581e-43	Myeloid cell	SCPEP1	Up
SLC19A2	8.61538076753271e-48	-2.71037410745123	0.012	0.081	1.55197469146334e-43	Myeloid cell	SLC19A2	Down
IL6R	9.62204888131718e-48	-1.05792878318265	0.169	0.343	1.73331588548048e-43	Myeloid cell	IL6R	Down
ARL4C	9.82941367699093e-48	-1.6464298667419	0.061	0.183	1.77067057977315e-43	Myeloid cell	ARL4C	Down
MPHOSPH6	1.11354395842329e-47	-1.43082461483442	0.076	0.209	2.00593808670372e-43	Myeloid cell	MPHOSPH6	Down
LSM5	1.47802389370899e-47	-1.23655579441236	0.15	0.313	2.66251224212738e-43	Myeloid cell	LSM5	Down
H3F3A	3.88728860954021e-47	-0.408763873405872	0.929	0.966	7.00256170122573e-43	Myeloid cell	H3F3A	Down
IRF8	3.90111026967388e-47	-1.19443419887332	0.167	0.335	7.02746003979053e-43	Myeloid cell	IRF8	Down
HLA-B	5.23186853748691e-47	0.555867063263182	0.888	0.839	9.42468798342892e-43	Myeloid cell	HLA-B	Up
DUT	8.17624348222549e-47	-1.04647724919856	0.235	0.416	1.4728685008881e-42	Myeloid cell	DUT	Down
CALM1	1.7998754293937e-46	-0.664555454997342	0.551	0.719	3.2422955985098e-42	Myeloid cell	CALM1	Down
TPM4	3.31846396504855e-46	-0.805416588394853	0.339	0.538	5.97788098663846e-42	Myeloid cell	TPM4	Down
SRSF3	3.43694574000835e-46	-0.694372831455702	0.434	0.632	6.19131405605104e-42	Myeloid cell	SRSF3	Down
TFDP1	3.49847669618378e-46	-1.47653758887919	0.075	0.203	6.30215592050546e-42	Myeloid cell	TFDP1	Down
NUCB2	4.81479353993352e-46	-0.726903058878603	0.303	0.509	8.67336908283625e-42	Myeloid cell	NUCB2	Down
SPCS3	4.82196400615158e-46	-0.75668747257868	0.407	0.608	8.68628596068145e-42	Myeloid cell	SPCS3	Down
FOXP1	8.3916508959682e-46	-0.575539053479452	0.614	0.786	1.51167199239971e-41	Myeloid cell	FOXP1	Down
RPA3	1.06410997772529e-45	-1.46651147074813	0.078	0.207	1.91688771387434e-41	Myeloid cell	RPA3	Down
ATP8B4	1.33655088424905e-45	2.39053316662216	0.215	0.052	2.40766276288624e-41	Myeloid cell	ATP8B4	Up
SMC1A	1.01595954208684e-44	-1.19266487763965	0.143	0.3	1.83014951911523e-40	Myeloid cell	SMC1A	Down
C14orf2	2.39874286186991e-44	-0.692823717401043	0.405	0.606	4.32109539137246e-40	Myeloid cell	C14orf2	Down
CALM2	3.11756473240682e-44	-0.443419868848112	0.64	0.844	5.61598110895765e-40	Myeloid cell	CALM2	Down
RPL35	4.4889622976402e-44	-0.394200494105138	0.92	0.971	8.08641668296905e-40	Myeloid cell	RPL35	Down
VEGFA	4.5310755963991e-44	-2.09378962755685	0.036	0.13	8.16227957935334e-40	Myeloid cell	VEGFA	Down
HLA-A	9.68739863323778e-44	0.796317424095247	0.671	0.527	1.74508798979145e-39	Myeloid cell	HLA-A	Up
HMMR	1.01374696849318e-43	-2.29720005070422	0.024	0.106	1.82616378904362e-39	Myeloid cell	HMMR	Down
AHSP	1.06260871564194e-43	-4.01578711555558	0.003	0.048	1.9141833403574e-39	Myeloid cell	AHSP	Down
MT-CYTB	1.47997310054641e-43	-0.50399275288422	0.656	0.822	2.66602354332431e-39	Myeloid cell	MT-CYTB	Down
RPS21	1.74837959905762e-43	-0.355112260677472	0.9	0.964	3.1495310097424e-39	Myeloid cell	RPS21	Down
SPC25	1.99618181100107e-43	-2.79819568048295	0.012	0.076	3.59592191433733e-39	Myeloid cell	SPC25	Down
GNL3	3.47882904582267e-43	-1.1444229535762	0.147	0.303	6.26676264314495e-39	Myeloid cell	GNL3	Down
NFKBIZ	3.83143777870895e-43	1.70643867995136	0.327	0.148	6.9019520145663e-39	Myeloid cell	NFKBIZ	Up
CD68	4.70940816205656e-43	1.05614677868607	0.441	0.245	8.48352786312869e-39	Myeloid cell	CD68	Up
NUF2	5.15554524040918e-43	-2.09507602536021	0.024	0.105	9.2871991960731e-39	Myeloid cell	NUF2	Down
GPX1	5.5249109195572e-43	0.858729763439837	0.682	0.572	9.95257453049034e-39	Myeloid cell	GPX1	Up
KLF6	6.27030341771311e-43	0.962051234520266	0.605	0.449	1.12953245766684e-38	Myeloid cell	KLF6	Up
RSRP1	6.61894810126218e-43	1.40926709363518	0.344	0.159	1.19233731096137e-38	Myeloid cell	RSRP1	Up
C1orf21	3.11943784542505e-42	-2.74448509373818	0.011	0.072	5.61935533474869e-38	Myeloid cell	C1orf21	Down
SH3BP4	3.20648130236733e-42	-6.63049695967078	0	0.034	5.77615541808451e-38	Myeloid cell	SH3BP4	Down
ELL2	3.90876911869364e-42	-2.00998149387437	0.035	0.126	7.04125669041472e-38	Myeloid cell	ELL2	Down
PAICS	6.24434003841681e-42	-1.40373095395214	0.088	0.217	1.1248554145204e-37	Myeloid cell	PAICS	Down
RPS17	9.60190077523052e-42	-0.367568926333085	0.903	0.957	1.72968640565003e-37	Myeloid cell	RPS17	Down
HMGN5	1.02532237807496e-41	-2.71478485952276	0.011	0.071	1.84701573186423e-37	Myeloid cell	HMGN5	Down
