"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001816","GO:0001816","cytokine production",446,0.514949233036073,3.13049652123363,1e-10,2.31897435897436e-09,1.32631578947368e-09,1720,"tags=45%, list=18%, signal=38%","CYP1B1/C5AR1/S1PR3/CD14/CLEC4E/FCN1/NLRP12/HMOX1/VSIG4/BCL6/CR1/CLEC7A/LILRA5/IL1R2/LILRB2/FN1/TREM1/LRRK2/MEFV/NFAM1/TNF/SLC11A1/THBS1/C3AR1/NLRC4/KLF4/SCIMP/TLR8/SULF2/TLR4/FGR/TLR5/PTAFR/FCER1G/ZFP36/CEBPB/CAPN2/CYBB/CD83/CD86/BPI/LY96/RBM47/IL17RA/RGCC/TICAM2/LILRB1/TLR1/SIGLEC16/TLR7/PTGS2/DTX4/NOD2/PELI1/ALOX5/VSIR/TNFRSF1B/CD4/ADAM8/ANXA1/RARA/ZBTB7B/OAS1/TNFAIP3/NLRP1/IFNGR1/CLEC4A/KLF2/LILRB4/DDIT3/POU2F2/IL1R1/HIF1A/CADM1/PTPRJ/HSPA1B/CD55/FCGR2B/PLD3/ARRB2/SRGN/TYROBP/CRTAM/GBP1/NLRP3/RIPK2/ATP2B1/LILRA2/BCL3/LAPTM5/SIRPA/TLR2/CX3CR1/AIF1/CD200R1/FCGR3A/IQGAP1/CARD16/PTPRC/HPSE/NR4A3/AKIRIN2/HDAC9/P2RX7/NDRG2/LPL/IRF4/ZC3H12A/CASP1/CD36/SLAMF1/NAIP/IL4R/JAK2/RIOK3/HAVCR2/IRF7/NPTN/MERTK/LYN/PRNP/CCDC88B/HSPA1A/ADCY7/TRIM38/HOMER3/MYD88/IL6ST/MALT1/IRF1/MAPK13/TMSB4X/ISG15/CD3E/PTGER4/CLNK/RABGEF1/SMAD3/UNC93B1/TLR6/PER1/HLA-F/RAB1A/FLOT1/GPSM3/ATP6AP2/FURIN/GATA3/MAP2K3/SCAMP5/TSPO/CCR7/CASP8/PTPN6/AIM2/REL/LY9/CCR2/ADAM17/ELF1/CYLD/HLA-B/EZR/PTPN22/HLA-DRB1/RELB/SELENOK/LACC1/TRAF3IP3/OAS3/GAS6/MAPKAPK2/TANK/PDE4B/SYK/IRAK3/B2M/XAF1/PDE4D/SELENOS/STAT1/TYK2/PCSK5/OAS2/TICAM1/CD6/IL1RAP/ITK/CSF1R/ELF4/TNFRSF14/HLA-DPB1/CD40/ARID5A/GBP5/IRF8/LTB/HLA-E/TGFB1"
"GO:0032611","GO:0032611","interleukin-1 beta production",56,0.721392281592746,3.12246562941927,1e-10,2.31897435897436e-09,1.32631578947368e-09,1251,"tags=62%, list=13%, signal=55%","S1PR3/NLRP12/CLEC7A/LILRA5/MEFV/TNF/NLRC4/TLR8/TLR4/NOD2/TNFAIP3/NLRP1/LILRB4/ARRB2/TYROBP/NLRP3/RIPK2/LILRA2/SIRPA/CX3CR1/CARD16/P2RX7/LPL/ZC3H12A/CASP1/CD36/NAIP/JAK2/MYD88/MALT1/SMAD3/TLR6/CCR7/CASP8/AIM2"
"GO:0032651","GO:0032651","regulation of interleukin-1 beta production",56,0.721392281592746,3.12246562941927,1e-10,2.31897435897436e-09,1.32631578947368e-09,1251,"tags=62%, list=13%, signal=55%","S1PR3/NLRP12/CLEC7A/LILRA5/MEFV/TNF/NLRC4/TLR8/TLR4/NOD2/TNFAIP3/NLRP1/LILRB4/ARRB2/TYROBP/NLRP3/RIPK2/LILRA2/SIRPA/CX3CR1/CARD16/P2RX7/LPL/ZC3H12A/CASP1/CD36/NAIP/JAK2/MYD88/MALT1/SMAD3/TLR6/CCR7/CASP8/AIM2"
"GO:0001819","GO:0001819","positive regulation of cytokine production",293,0.533125069089149,3.1184959428105,1e-10,2.31897435897436e-09,1.32631578947368e-09,1720,"tags=48%, list=18%, signal=40%","CYP1B1/C5AR1/CD14/CLEC4E/FCN1/NLRP12/HMOX1/CLEC7A/LILRA5/LILRB2/LRRK2/MEFV/NFAM1/TNF/SLC11A1/THBS1/C3AR1/NLRC4/SCIMP/TLR8/SULF2/TLR4/FGR/TLR5/PTAFR/FCER1G/CEBPB/CYBB/CD83/CD86/LY96/RBM47/IL17RA/RGCC/TICAM2/LILRB1/TLR1/SIGLEC16/TLR7/PTGS2/NOD2/PELI1/CD4/ADAM8/ANXA1/RARA/ZBTB7B/OAS1/NLRP1/IFNGR1/DDIT3/POU2F2/IL1R1/HIF1A/CADM1/PTPRJ/HSPA1B/CD55/TYROBP/CRTAM/NLRP3/RIPK2/LILRA2/BCL3/LAPTM5/TLR2/AIF1/FCGR3A/PTPRC/HPSE/NR4A3/AKIRIN2/P2RX7/LPL/IRF4/CASP1/CD36/SLAMF1/NAIP/IL4R/JAK2/RIOK3/HAVCR2/IRF7/CCDC88B/HSPA1A/MYD88/IL6ST/MALT1/IRF1/MAPK13/ISG15/CD3E/PTGER4/CLNK/SMAD3/UNC93B1/TLR6/HLA-F/RAB1A/FLOT1/GPSM3/ATP6AP2/GATA3/SCAMP5/CCR7/CASP8/AIM2/LY9/CCR2/ADAM17/PTPN22/SELENOK/LACC1/TRAF3IP3/OAS3/MAPKAPK2/TANK/PDE4B/SYK/IRAK3/B2M/PDE4D/STAT1/TYK2/OAS2/TICAM1/CD6/IL1RAP/ITK/CSF1R/TNFRSF14/HLA-DPB1/CD40/ARID5A/GBP5/IRF8/LTB/HLA-E/TGFB1"
"GO:0002764","GO:0002764","immune response-regulating signaling pathway",304,0.530579926810442,3.10333280642917,1e-10,2.31897435897436e-09,1.32631578947368e-09,1912,"tags=50%, list=20%, signal=42%","C5AR1/CD14/CLEC4E/FPR1/FCN1/SLC15A3/LGALS3/CR1/CLEC7A/LILRB2/FPR2/MEFV/NFAM1/TNF/C3AR1/CTSS/NLRC4/SCIMP/TLR8/TLR4/FCER2/FGR/TLR5/FCER1G/CLEC4D/NFKBIZ/LY96/NFKBIA/TICAM2/HCK/LILRB1/TLR1/TLR7/CTSH/MNDA/NOD2/PELI1/OAS1/NINJ1/TNFAIP3/NLRP1/LILRB4/BIRC3/PTPRJ/THEMIS2/CLEC12B/HSPA1B/FCGR2B/FYB1/ARRB2/TYROBP/FCGR1A/GBP1/NLRP3/RIPK2/LILRA2/FOSL2/LAPTM5/TLR2/NFKBID/CD200R1/MYO1G/FCGR3A/PTPRC/NR4A3/IRF4/HLA-DQB1/ZC3H12A/CASP1/CD36/NAIP/FCER1A/RIOK3/HAVCR2/IRF7/LYN/CD300LF/PRNP/LAT/CD8B/PLEKHA1/HSPA1A/USP15/MYD88/GBP2/PLSCR1/MALT1/IRF1/FOSL1/CD3E/RABGEF1/UNC93B1/TLR6/FLOT1/GATA3/NAGK/MAP3K1/FYN/PAK1/CCR7/PTPN6/AIM2/RAB29/SLC15A2/TRAT1/ELF1/CYLD/EZR/PTPN22/HLA-DRB1/LACC1/PRKCB/PRKCD/OAS3/PIK3AP1/MAPKAPK2/DUSP22/PDE4B/SYK/IRAK3/LCP2/PDE4D/PRKCE/EP300/MAP2K6/IFI35/TICAM1/NECTIN2/CD300A/ITK/HLA-DPB1/CD40/RPS6KA3/GBP5/DUSP3/CD8A/CD33/RTN4/NPLOC4/TRAF6/DDX3X/CSK/TLR10/PRAM1/PYCARD/PDPK1/RNF135/WDFY1/THEMIS/CREBBP/GPR108/PSEN1/PLCL2"
"GO:0050727","GO:0050727","regulation of inflammatory response",192,0.557162384838038,3.09052506329191,1e-10,2.31897435897436e-09,1.32631578947368e-09,1401,"tags=45%, list=15%, signal=39%","NLRP12/S100A12/BCL6/LILRA5/S100A9/NCF1/LGALS2/LRRK2/FPR2/S100A8/MEFV/TNF/IER3/NLRC4/KLF4/TLR4/FGR/ZFP36/CEBPB/NFKBIZ/NFKBIA/IL17RA/AOAH/HCK/TLR7/PTGS2/NEAT1/SIGLEC10/NOD2/ALOX5/TNFRSF1B/MAPK7/ADAM8/ANXA1/NINJ1/TNFAIP3/NLRP1/IL10RA/TNFAIP6/AHR/IL1R1/GRN/BIRC3/FCGR2B/SOCS3/METRNL/BST1/FCGR1A/NLRP3/GGT1/SIRPA/TLR2/CD200R1/RHBDF2/CARD16/PTPRC/LPL/CASP1/NAIP/LDLR/JAK2/LYN/ALOX5AP/MYD88/IL6ST/PLK2/MAPK13/TMSB4X/PTGER4/RABGEF1/SMAD3/LGALS1/GPSM3/PPARD/FURIN/GATA3/FYN/CCR7/PTPN6/AIM2/CCR2/CYLD/DUSP10/HLA-DRB1/LACC1/PRKCD/PIK3AP1"
"GO:0042116","GO:0042116","macrophage activation",62,0.682020665789594,3.08136782492066,1e-10,2.31897435897436e-09,1.32631578947368e-09,848,"tags=52%, list=9%, signal=47%","C5AR1/VSIG4/LRRK2/C1QA/TNF/SLC11A1/THBS1/TLR4/ITGAM/FCER2/BPI/TLR1/CD93/IL31RA/IFNGR1/IFNGR2/GRN/ITGB2/FCGR2B/TYROBP/DYSF/TLR2/CX3CR1/AIF1/FCGR3A/PTPRC/ZC3H12A/LDLR/IL4R/JAK2/HAVCR2/JMJD6"
"GO:0071216","GO:0071216","cellular response to biotic stimulus",149,0.586352981624765,3.07790836464,1e-10,2.31897435897436e-09,1.32631578947368e-09,1708,"tags=55%, list=18%, signal=46%","CXCL8/CD14/CLEC7A/LILRB2/TNF/CDA/CD68/SCIMP/TRIB1/TLR4/PTAFR/ZFP36/CAPN2/NFKBIZ/CD86/BPI/LY96/NFKBIA/TICAM2/HCK/LILRB1/TLR1/NOD2/TNFRSF1B/RARA/TNFAIP3/CCR5/DDIT3/AHR/VIM/CD55/FCGR2B/NLRP3/RIPK2/HSPA5/ADAM9/LILRA2/SIRPA/TLR2/MRC1/CX3CR1/SPI1/CXCL3/CARD16/ZC3H12A/CASP1/CD36/PPP1R15B/PPBP/JAK2/ABCA1/CXCL2/NOTCH2/HAVCR2/TXNIP/LYN/LY86/MYD88/GBP2/MALT1/TIGAR/TLR6/MAP2K3/TSPO/PTPN22/PDE4B/SYK/IRAK3/PRKCA/MAPK3/SELENOS/SBNO2/PRKCE/NOTCH1/TICAM1/CD6/KMO/HDAC5/CD40/ARID5A/GBP5/IRF8"
"GO:0002274","GO:0002274","myeloid leukocyte activation",143,0.589362648626318,3.07448397675581,1e-10,2.31897435897436e-09,1.32631578947368e-09,1620,"tags=57%, list=17%, signal=48%","CXCL8/C5AR1/S100A12/VSIG4/FN1/LRRK2/C1QA/TNF/SLC11A1/THBS1/TLR4/ITGAM/FCER2/FGR/PTAFR/FCER1G/CLEC4D/BPI/TLR1/CD93/ANXA1/IL31RA/IFNGR1/IFNGR2/LILRB4/GRN/ITGB2/FCGR2B/TYROBP/ADAM9/LILRA2/CAMK4/DYSF/TLR2/CX3CR1/AIF1/SPI1/FCGR3A/PTPRC/NR4A3/IRF4/ZC3H12A/SLAMF1/LDLR/IL4R/FCER1A/JAK2/NOTCH2/HAVCR2/JMJD6/LYN/CD300LF/LAT/STXBP2/MYD88/PLSCR1/MILR1/LTBR/PREX1/CLNK/RABGEF1/TLR6/ADGRE2/NDRG1/PTPN6/DOCK2/CCR2/GAB2/TGFBR2/RELB/PRKCD/TSPAN32/SYK/LCP2/RBPJ/SBNO2/PRKCE/IFI35/TICAM1/NECTIN2/CD300A"
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway",206,0.547015252315207,3.05396874752546,1e-10,2.31897435897436e-09,1.32631578947368e-09,1656,"tags=46%, list=17%, signal=39%","C5AR1/CD14/CLEC4E/FPR1/FCN1/LGALS3/CR1/CLEC7A/LILRB2/FPR2/NFAM1/C3AR1/SCIMP/TLR4/FCER2/FGR/TLR5/FCER1G/CLEC4D/NFKBIZ/LY96/NFKBIA/TICAM2/HCK/LILRB1/TLR1/MNDA/NOD2/PELI1/OAS1/NINJ1/TNFAIP3/LILRB4/PTPRJ/THEMIS2/CLEC12B/FCGR2B/FYB1/TYROBP/FCGR1A/GBP1/RIPK2/LILRA2/FOSL2/LAPTM5/TLR2/NFKBID/CD200R1/MYO1G/FCGR3A/PTPRC/NR4A3/HLA-DQB1/ZC3H12A/FCER1A/LYN/PRNP/LAT/CD8B/PLEKHA1/MYD88/PLSCR1/MALT1/CD3E/RABGEF1/TLR6/GATA3/MAP3K1/FYN/PAK1/CCR7/PTPN6/RAB29/TRAT1/ELF1/EZR/PTPN22/HLA-DRB1/PRKCB/PRKCD/PIK3AP1/DUSP22/PDE4B/SYK/LCP2/PDE4D/PRKCE/EP300/IFI35/NECTIN2/CD300A/ITK/HLA-DPB1/CD40"
"GO:0001818","GO:0001818","negative regulation of cytokine production",158,0.573845571542722,3.0532311409743,1e-10,2.31897435897436e-09,1.32631578947368e-09,1497,"tags=47%, list=16%, signal=40%","NLRP12/VSIG4/BCL6/CR1/LILRA5/IL1R2/FN1/MEFV/TNF/SLC11A1/THBS1/KLF4/TLR8/TLR4/ZFP36/CD83/BPI/RGCC/LILRB1/NOD2/VSIR/ANXA1/RARA/OAS1/TNFAIP3/CLEC4A/KLF2/LILRB4/DDIT3/FCGR2B/ARRB2/SRGN/TYROBP/GBP1/NLRP3/ATP2B1/BCL3/LAPTM5/SIRPA/CX3CR1/CD200R1/CARD16/PTPRC/HDAC9/NDRG2/ZC3H12A/SLAMF1/HAVCR2/NPTN/MERTK/PRNP/ADCY7/HOMER3/TMSB4X/PTGER4/RABGEF1/TLR6/HLA-F/FURIN/GATA3/TSPO/CCR7/PTPN6/REL/CYLD/EZR/PTPN22/HLA-DRB1/RELB/OAS3/GAS6/IRAK3/XAF1/SELENOS"
