p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
TKT	0	0.538400337902587	0.775	0.43	0	0	TKT
TMSB4X	0	0.537918639703227	0.998	0.903	0	0	TMSB4X
S100A4	0	0.530439813017758	0.842	0.47	0	0	S100A4
MCL1	0	0.516778106192951	0.628	0.27	0	0	MCL1
LCP1	0	0.494422229620413	0.845	0.538	0	0	LCP1
EMB	0	0.489887322999336	0.701	0.434	0	0	EMB
TSPO	0	0.484019676441031	0.664	0.311	0	0	TSPO
TNFSF13B	0	0.483713666210539	0.522	0.169	0	0	TNFSF13B
FOS	0	0.478211534421491	0.617	0.326	0	0	FOS
FCER1G	0	0.476270051041347	0.53	0.132	0	0	FCER1G
FGL2	0	0.470260782572574	0.445	0.099	0	0	FGL2
VMP1	0	0.457952822166406	0.438	0.172	0	0	VMP1
ANXA5	0	0.454453922804385	0.503	0.135	0	0	ANXA5
CD68	0	0.449073549328115	0.447	0.083	0	0	CD68
MARCKS	0	0.44822252017983	0.277	0.054	0	0	MARCKS
CLEC12A	0	0.441692754591418	0.491	0.153	0	0	CLEC12A
GRN	0	0.439511600395173	0.492	0.14	0	0	GRN
LGALS1	0	0.433493951166201	0.692	0.326	0	0	LGALS1
IQGAP1	0	0.429593757478623	0.683	0.362	0	0	IQGAP1
ITGB2	0	0.427216937635722	0.566	0.213	0	0	ITGB2
ADA2	0	0.424201157943287	0.411	0.086	0	0	ADA2
DUSP1	0	0.418854383125055	0.424	0.167	0	0	DUSP1
AHNAK	0	0.408557314546223	0.617	0.322	0	0	AHNAK
CTSB	0	0.403640912822717	0.481	0.159	0	0	CTSB
TNFAIP2	0	0.403442910137684	0.38	0.099	0	0	TNFAIP2
EVI2B	0	0.396255443228415	0.533	0.235	0	0	EVI2B
NCF2	0	0.392739147723958	0.384	0.064	0	0	NCF2
ACTB	0	0.392420364560042	0.983	0.914	0	0	ACTB
CD302	0	0.385050243701398	0.534	0.232	0	0	CD302
METTL9	0	0.379884274798402	0.471	0.197	0	0	METTL9
OAZ1	0	0.377370789766277	0.78	0.534	0	0	OAZ1
IRS2	0	0.377336939310816	0.347	0.074	0	0	IRS2
CTSD	0	0.377314895461745	0.408	0.133	0	0	CTSD
ARL4A	0	0.373968845768845	0.396	0.128	0	0	ARL4A
LAPTM5	0	0.372192202429243	0.659	0.353	0	0	LAPTM5
MXD1	0	0.371164000468459	0.404	0.145	0	0	MXD1
ZFAND5	0	0.368381081577833	0.471	0.211	0	0	ZFAND5
SCPEP1	0	0.362066420676934	0.378	0.09	0	0	SCPEP1
CST3	0	0.352216297874346	0.587	0.259	0	0	CST3
BTG1	0	0.350967208682828	0.508	0.23	0	0	BTG1
MEGF9	0	0.348664217391986	0.339	0.071	0	0	MEGF9
IFNGR1	0	0.344245697095417	0.394	0.13	0	0	IFNGR1
SLC44A1	0	0.342663689103746	0.341	0.101	0	0	SLC44A1
CD63	0	0.342297830574206	0.558	0.278	0	0	CD63
TMSB10	0	0.339400129419382	0.995	0.936	0	0	TMSB10
MPEG1	0	0.335811481348777	0.305	0.051	0	0	MPEG1
CTSH	0	0.329917930729316	0.355	0.083	0	0	CTSH
CEBPD	0	0.327317218351068	0.319	0.06	0	0	CEBPD
FBXL5	0	0.327065593705534	0.387	0.136	0	0	FBXL5
SAMHD1	0	0.325930037200495	0.553	0.23	0	0	SAMHD1
AP1S2	0	0.308524570744789	0.368	0.115	0	0	AP1S2
DMXL2	0	0.305837086655027	0.303	0.077	0	0	DMXL2
SERPINB10	0	0.304916476732828	0.254	0.032	0	0	SERPINB10
LST1	0	0.301990968354891	0.495	0.212	0	0	LST1
TLR4	0	0.300717403088416	0.275	0.043	0	0	TLR4
S100A11	0	0.298444125225752	0.327	0.076	0	0	S100A11
KCTD12	0	0.298002006696236	0.273	0.057	0	0	KCTD12
ASAH1	0	0.296910823164504	0.378	0.134	0	0	ASAH1
IL17RA	0	0.296748173954195	0.325	0.071	0	0	IL17RA
KLF4	0	0.288683828708731	0.288	0.055	0	0	KLF4
MS4A7	0	0.287561053613557	0.309	0.076	0	0	MS4A7
TMEM170B	0	0.282931354651378	0.258	0.036	0	0	TMEM170B
C1orf162	0	0.269461520091906	0.309	0.077	0	0	C1orf162
EMILIN2	0	0.254368552238633	0.308	0.082	0	0	EMILIN2
VSIR	6.20886909394169e-308	0.305990631035412	0.385	0.145	1.11846567858266e-303	0	VSIR
HMGB2	1.41779708916764e-307	0.470130155647158	0.781	0.523	2.55401967642658e-303	0	HMGB2
ZFP36	2.45339579299732e-307	0.326030755590307	0.429	0.174	4.41954718150536e-303	0	ZFP36
GLIPR2	4.12493070766096e-307	0.261087613837611	0.328	0.106	7.43065017678045e-303	0	GLIPR2
COTL1	1.59964133992966e-303	0.282501945512717	0.439	0.18	2.88159390974929e-299	0	COTL1
PTPRE	3.08029129677601e-301	0.307834657145343	0.392	0.151	5.5488367420123e-297	0	PTPRE
IRAK3	1.31741758686613e-297	0.305149960259928	0.434	0.184	2.37319604098066e-293	0	IRAK3
SAMSN1	3.55013964317836e-295	0.396727007647358	0.374	0.145	6.3952215532215e-291	0	SAMSN1
SAP30	8.86879315403015e-283	0.276889935175395	0.26	0.074	1.59762439876699e-278	0	SAP30
CAST	1.90351665108198e-280	0.298390610629426	0.461	0.209	3.42899489525907e-276	0	CAST
TPM3	3.69866661202671e-265	0.324604091203816	0.92	0.794	6.66277803490492e-261	0	TPM3
CSGALNACT2	1.30636987367083e-261	0.260450414230329	0.336	0.125	2.35329469043063e-257	0	CSGALNACT2
GPCPD1	2.93055652346452e-259	0.279083785547804	0.382	0.158	5.27910452136899e-255	0	GPCPD1
ARPC1B	3.94965375656875e-253	0.301133821420163	0.597	0.34	7.11490627708294e-249	0	ARPC1B
STK17B	5.69522942264753e-250	0.34097174579305	0.651	0.394	1.02593862819573e-245	0	STK17B
PLEK	6.7811717106331e-250	0.378987987374595	0.556	0.317	1.22156027195345e-245	0	PLEK
SERF2	2.01643851860809e-240	0.308288859266218	0.91	0.804	3.63241234742062e-236	0	SERF2
PLIN2	2.89351846060996e-237	0.521935770780743	0.359	0.157	5.21238415494278e-233	0	PLIN2
PKM	6.413340132292e-232	0.26013666929896	0.454	0.224	1.15529909143108e-227	0	PKM
USP15	3.23375564766539e-231	0.336506504143047	0.564	0.326	5.82528742370443e-227	0	USP15
NPC2	6.0655458525441e-231	0.252977437822955	0.37	0.16	1.09264742987729e-226	0	NPC2
MRPL33	1.6006838225275e-230	0.314191601655014	0.52	0.289	2.88347183790104e-226	0	MRPL33
UBC	1.36220312050623e-229	0.399246710224551	0.772	0.576	2.45387270127991e-225	0	UBC
HSPA5	1.74969820223019e-218	0.688385495324394	0.633	0.433	3.15190634149747e-214	0	HSPA5
JUN	1.94904801087802e-217	0.625163023127219	0.384	0.189	3.51101508679567e-213	0	JUN
CXCR4	2.82167284131812e-207	0.252479961778676	0.427	0.209	5.08296145635046e-203	0	CXCR4
MFSD1	1.33143092542444e-206	0.254059270617786	0.407	0.199	2.39843966905959e-202	0	MFSD1
ZEB2	7.56928593801499e-206	0.268870559702825	0.464	0.244	1.36353116887402e-201	0	ZEB2
NFKBIZ	2.10727156804354e-203	0.282603475466437	0.312	0.129	3.79603900267364e-199	0	NFKBIZ
MYADM	8.52600537429469e-203	0.261851900161427	0.443	0.229	1.53587460812544e-198	0	MYADM
ARPC5	2.99149213131431e-200	0.309073743646034	0.607	0.385	5.3888739253496e-196	0	ARPC5
MYL6	3.24225179876665e-197	0.281000388073672	0.846	0.689	5.84059239029825e-193	0	MYL6
VAPA	1.46085059856333e-191	0.29641473275129	0.474	0.27	2.63157626825199e-187	0	VAPA
ACTR2	2.65742128787351e-191	0.298612117241083	0.723	0.523	4.78707870797534e-187	0	ACTR2
PLAC8	5.20998196965903e-188	0.379732470984743	0.56	0.367	9.38526152014377e-184	0	PLAC8
HIF1A	1.3523146034631e-183	0.313509620083764	0.373	0.186	2.43605952667842e-179	0	HIF1A
CDC42	5.49051506765426e-180	0.282606912315908	0.738	0.556	9.89061384287239e-176	0	CDC42
AHR	1.49176968554045e-179	0.253383105838872	0.37	0.179	2.68727391153257e-175	0	AHR
NFKBIA	1.16379911361171e-167	0.436670743379008	0.493	0.302	2.09646772326013e-163	0	NFKBIA
NEAT1	1.72474395859235e-153	0.515551264669386	0.59	0.412	3.10695376700827e-149	0	NEAT1
YWHAZ	3.21957426335262e-153	0.254802261352715	0.764	0.598	5.79974107800342e-149	0	YWHAZ
CTSG	1.05940839982315e-150	0.262721841230709	0.269	0.117	1.90841829144142e-146	0	CTSG
SERPINB1	2.76451384537582e-143	0.28457043350581	0.704	0.514	4.97999524106001e-139	0	SERPINB1
ENO1	5.06266774287881e-143	0.257676191022323	0.743	0.561	9.11988967202189e-139	0	ENO1
PPP1R15A	3.08513920681492e-138	0.259448484183831	0.437	0.261	5.5575697671564e-134	0	PPP1R15A
DUSP6	1.26134500016584e-98	0.256490286724383	0.365	0.226	2.27218688329874e-94	0	DUSP6
MALAT1	5.10550622532572e-97	0.277676511493609	0.997	0.986	9.19705891430174e-93	0	MALAT1
SPINK2	0	0.620362102724368	0.435	0.12	0	1	SPINK2
RPLP0	0	0.588165990591306	0.995	0.938	0	1	RPLP0
GAS5	0	0.56796313233707	0.794	0.47	0	1	GAS5
LRRC75A-AS1	0	0.55613211204498	0.874	0.569	0	1	LRRC75A-AS1
RPS3	0	0.479152864067258	0.953	0.838	0	1	RPS3
EEF1B2	0	0.471532722237	0.982	0.881	0	1	EEF1B2
RPS5	0	0.46641972230293	0.915	0.738	0	1	RPS5
RPL3	0	0.465252542016782	0.989	0.937	0	1	RPL3
RPS2	0	0.45152877750648	0.958	0.848	0	1	RPS2
RPS18	0	0.447663320387231	1	0.988	0	1	RPS18
CDK6	0	0.444266595930106	0.674	0.346	0	1	CDK6
RPS3A	0	0.441702357809411	1	0.996	0	1	RPS3A
RPLP1	0	0.440316610643093	1	0.994	0	1	RPLP1
RPL9	0	0.435416944050887	0.997	0.979	0	1	RPL9
RPL13	0	0.432859823142976	0.999	0.987	0	1	RPL13
RPL18A	0	0.4267675867639	0.973	0.907	0	1	RPL18A
RPS4X	0	0.412718291474258	0.975	0.89	0	1	RPS4X
HSP90AB1	0	0.407318382626723	0.871	0.638	0	1	HSP90AB1
RPS12	0	0.396112950001398	0.999	0.99	0	1	RPS12
RPS8	0	0.385573268927613	1	0.993	0	1	RPS8
RPS7	0	0.383803987029479	0.972	0.892	0	1	RPS7
RPS21	0	0.379276421957682	0.991	0.943	0	1	RPS21
RPL15	0	0.375755608222064	0.996	0.977	0	1	RPL15
RPS19	0	0.367691179094686	0.994	0.962	0	1	RPS19
PCNP	0	0.36066564888048	0.975	0.909	0	1	PCNP
RPS23	0	0.359666696961984	0.998	0.981	0	1	RPS23
RPL10A	0	0.358077128045438	0.973	0.882	0	1	RPL10A
RPS6	0	0.356559010694261	1	0.998	0	1	RPS6
RPL17	0	0.341692418876623	0.997	0.976	0	1	RPL17
ANGPT1	0	0.338570773640921	0.306	0.062	0	1	ANGPT1
RPS24	0	0.333848898065372	0.998	0.978	0	1	RPS24
RPS15A	0	0.327503059945716	0.998	0.983	0	1	RPS15A
RPL5	0	0.327230641323949	0.996	0.979	0	1	RPL5
RPL7	0	0.324512166181068	0.989	0.936	0	1	RPL7
RPS17	0	0.318918069138134	0.987	0.94	0	1	RPS17
RPL31	0	0.310140816031786	1	0.991	0	1	RPL31
RPL26	0	0.309540387013113	0.998	0.981	0	1	RPL26
RPL37A	0	0.307851669392589	0.99	0.953	0	1	RPL37A
RPL35A	0	0.298947732357961	0.996	0.974	0	1	RPL35A
RPL39	0	0.294849525908096	0.998	0.979	0	1	RPL39
RPL32	0	0.288398811351442	0.997	0.973	0	1	RPL32
FAM30A	0	0.282680759596713	0.299	0.076	0	1	FAM30A
GUCY1A3	0	0.279556467948446	0.295	0.081	0	1	GUCY1A3
EEF1A1	0	0.278624094865152	1	0.999	0	1	EEF1A1
CD34	0	0.274415526769635	0.271	0.068	0	1	CD34
RPL13A	0	0.271084382636146	1	0.997	0	1	RPL13A
RPS13	1.42394467375663e-291	0.320723025264708	0.988	0.961	2.56509393530519e-287	1	RPS13
RPL7A	7.30237017846787e-288	0.334351135703869	0.921	0.804	1.3154489639492e-283	1	RPL7A
RPS27A	7.09781970688117e-277	0.26168337491812	0.998	0.989	1.27860124199757e-272	1	RPS27A
RPL18	4.03144720233229e-274	0.359398958778712	0.82	0.635	7.26224899028139e-270	1	RPL18
RPSA	1.09961803043443e-270	0.309750196582511	0.939	0.827	1.98085192002458e-266	1	RPSA
TPT1	3.40247641581241e-268	0.315316958409636	0.998	0.995	6.12922101544448e-264	1	TPT1
RPS10	1.0962215159926e-264	0.307085974219306	0.968	0.906	1.97473343890908e-260	1	RPS10
RACK1	2.35294366605011e-255	0.314565734604487	0.944	0.865	4.23859272002266e-251	1	RACK1
RPL30	2.54783378651737e-249	0.259822026872071	0.996	0.977	4.5896677830324e-245	1	RPL30
RPL19	3.60465195154128e-246	0.259360633726395	0.994	0.981	6.49342002550647e-242	1	RPL19
EEF1G	2.68848143167883e-243	0.298150115883999	0.932	0.845	4.84303045102625e-239	1	EEF1G
RPS18P9	6.35753658092914e-238	0.361537744864201	0.686	0.456	1.14524663968858e-233	1	RPS18P9
RPS14	1.2795597076916e-226	0.261150972130761	0.998	0.987	2.30499885743565e-222	1	RPS14
RPS28	6.6762716207156e-226	0.305987588927578	0.888	0.755	1.20266356975571e-221	1	RPS28
RPS11	2.58778720526947e-223	0.259605591160527	0.993	0.969	4.66163987157242e-219	1	RPS11
RPL13AP5	2.17558948031293e-218	0.274024567005148	0.975	0.921	3.91910688983571e-214	1	RPL13AP5
RPL24	3.73958958387666e-209	0.250873186385744	0.974	0.926	6.73649667639542e-205	1	RPL24
ITM2A	9.67852686892944e-208	0.265158674533798	0.264	0.095	1.74348983016895e-203	1	ITM2A
SOX4	1.11683053192832e-206	0.320222066803053	0.402	0.195	2.01185852021567e-202	1	SOX4
RPL29	8.58190584958261e-200	0.280009184868592	0.84	0.683	1.54594451974381e-195	1	RPL29
RPS15	6.98927437668386e-198	0.266006013142786	0.942	0.864	1.25904788621583e-193	1	RPS15
RPL12	2.23864724417611e-188	0.264050538811674	0.992	0.97	4.03269914565885e-184	1	RPL12
FLT3	2.46109460378571e-188	0.276186500963006	0.467	0.254	4.43341581925958e-184	1	FLT3
RPS16	9.56433090564087e-188	0.268871076792305	0.954	0.897	1.72291856934215e-183	1	RPS16
RPS25	1.06934707187273e-183	0.326657716511048	0.997	0.988	1.92632181527154e-179	1	RPS25
RPL8	2.71280848343554e-174	0.288244220916434	0.798	0.654	4.88685320206078e-170	1	RPL8
GAPDH	1.93678577505119e-172	0.379765645634365	0.828	0.682	3.48892589517722e-168	1	GAPDH
HINT1	1.1053636839293e-168	0.295404293773417	0.775	0.619	1.99120214023024e-164	1	HINT1
HNRNPA1	1.08375771047829e-166	0.258008277267065	0.862	0.701	1.9522811396556e-162	1	HNRNPA1
MIF	4.70484481285653e-164	0.283164226355142	0.642	0.449	8.47530744587976e-160	1	MIF
RPLP0P2	1.04195853160687e-161	0.258303864436502	0.748	0.566	1.87698409883662e-157	1	RPLP0P2
TPM4	8.26789693797583e-156	0.279377722276019	0.556	0.362	1.48937895440697e-151	1	TPM4
BTF3	2.3593468030287e-153	0.255040764247274	0.812	0.673	4.25012733097589e-149	1	BTF3
ZFAS1	5.82551710083784e-151	0.294329771310709	0.688	0.52	1.04940865054493e-146	1	ZFAS1
EEF2	2.68095956813657e-150	0.257920490588637	0.863	0.747	4.82948056604122e-146	1	EEF2
IL7R	0	1.13480348305931	0.496	0.027	0	2	IL7R
ETS1	0	0.814999909847866	0.52	0.087	0	2	ETS1
SYNE2	0	0.633546441024961	0.372	0.07	0	2	SYNE2
LTB	0	0.517490426163065	0.329	0.05	0	2	LTB
IFITM1	0	0.484962050092813	0.388	0.087	0	2	IFITM1
CD3D	0	0.470014323621577	0.354	0.062	0	2	CD3D
CD3G	0	0.41939882111197	0.294	0.022	0	2	CD3G
CD2	0	0.412675874130245	0.291	0.041	0	2	CD2
SLFN5	0	0.398764924671058	0.271	0.039	0	2	SLFN5
IL32	0	0.394659362992507	0.29	0.032	0	2	IL32
GIMAP7	3.4517783167314e-292	0.37490071283421	0.27	0.054	6.21803345975994e-288	2	GIMAP7
MALAT11	3.90754918532675e-282	0.691422659424215	0.999	0.987	7.03905910244761e-278	2	MALAT1
TXNIP	6.37918357389776e-163	0.615180722580256	0.77	0.601	1.14914612900194e-158	2	TXNIP
RPS27	3.4689305986994e-160	0.446052716826604	0.994	0.994	6.24893158049709e-156	2	RPS27
CD52	2.68527240136185e-132	0.419447546712006	0.649	0.41	4.83724970381323e-128	2	CD52
PTPRC	2.40613072205105e-115	0.41187663302434	0.72	0.551	4.33440388270275e-111	2	PTPRC
FYB1	2.43387406158559e-112	0.400865569002311	0.432	0.238	4.38438073454029e-108	2	FYB1
RPS29	8.99168199224761e-112	0.342068105435811	0.99	0.99	1.61976159408349e-107	2	RPS29
TNFAIP3	3.7240783127555e-103	0.347225477714246	0.275	0.118	6.70855467259775e-99	2	TNFAIP3
RNA28S	2.31797800625673e-98	0.42085293978749	1	1	4.17560558047088e-94	2	RNA28S
ATM	6.12655349191029e-90	0.311022745323029	0.315	0.157	1.10363734603272e-85	2	ATM
CD48	2.16143353787738e-84	0.26295327684519	0.277	0.13	3.89360637513231e-80	2	CD48
KIAA1551	2.37482998100346e-84	0.330962688104846	0.326	0.17	4.27801872777963e-80	2	KIAA1551
CYLD	1.04287611851154e-79	0.281439921942599	0.299	0.15	1.87863703988669e-75	2	CYLD
RPL21	2.31528596208162e-79	0.31604477232979	0.987	0.992	4.17075613209383e-75	2	RPL21
SARAF	1.01550456485994e-77	0.373798036259262	0.46	0.308	1.82932992313869e-73	2	SARAF
RPLP2	3.08885081028658e-75	0.250322960624648	0.967	0.944	5.56425584965024e-71	2	RPLP2
RIPOR2	1.71020322740806e-68	0.268722465953464	0.38	0.225	3.08076009385287e-64	2	RIPOR2
ANKRD12	6.95800413138969e-68	0.354400823038312	0.469	0.329	1.25341486422854e-63	2	ANKRD12
SLC38A1	1.8602468032428e-63	0.268837661087749	0.352	0.207	3.35104859136159e-59	2	SLC38A1
HLA-E	1.79881614548214e-59	0.268782486190571	0.7	0.584	3.24038740447153e-55	2	HLA-E
TNRC6B	3.91070105576626e-46	0.266940939029214	0.37	0.251	7.04473688185733e-42	2	TNRC6B
RPS14P3	2.98642673303406e-42	0.266132584253714	0.761	0.761	5.37974911688756e-38	2	RPS14P3
CALM1	6.07822065256947e-36	0.25833743139508	0.562	0.484	1.09493066835386e-31	2	CALM1
HLA-DRA	0	1.2253646246986	0.876	0.549	0	3	HLA-DRA
CD74	0	1.12399449165626	0.835	0.525	0	3	CD74
HLA-DPA1	0	1.03740327334654	0.698	0.286	0	3	HLA-DPA1
HLA-DPB1	0	0.948545088556388	0.64	0.246	0	3	HLA-DPB1
HLA-DRB1	0	0.916293505515717	0.711	0.327	0	3	HLA-DRB1
CST31	0	0.803645824118625	0.73	0.309	0	3	CST3
FGL21	0	0.652320281737636	0.539	0.157	0	3	FGL2
NAPSB	0	0.631262709013755	0.453	0.063	0	3	NAPSB
HLA-DQB1	0	0.571987728579602	0.397	0.077	0	3	HLA-DQB1
FCER1A	0	0.536791903291442	0.274	0.03	0	3	FCER1A
HLA-DQA1	0	0.536000563314116	0.379	0.061	0	3	HLA-DQA1
SAMHD11	2.3246811239006e-304	0.735216834009622	0.66	0.282	4.18768057659454e-300	3	SAMHD1
HLA-DRB5	1.4784017873612e-297	0.580136857614906	0.499	0.156	2.66319297975246e-293	3	HLA-DRB5
JAML	2.31514853433871e-294	0.517507699750563	0.428	0.113	4.17050856975775e-290	3	JAML
TMSB4X1	1.94494827412107e-270	0.631431178984754	0.999	0.921	3.5036298210017e-266	3	TMSB4X
TMSB101	5.170415981678e-264	0.562269402903696	0.993	0.947	9.31398734939475e-260	3	TMSB10
LGALS2	6.28427921202036e-260	0.321766474595766	0.251	0.043	1.13205005725335e-255	3	LGALS2
HLA-DRB6	4.55268754883419e-232	0.408540665233733	0.42	0.132	8.20121135046991e-228	3	HLA-DRB6
CPVL	7.77922974996629e-220	0.51006635947011	0.403	0.128	1.40135044715893e-215	3	CPVL
HLA-DMB	2.6231368917631e-218	0.322562745234146	0.311	0.077	4.72531879682206e-214	3	HLA-DMB
IL13RA1	3.36636952594279e-211	0.33469775585757	0.327	0.087	6.06417806403333e-207	3	IL13RA1
COTL11	1.22763266450048e-204	0.483266285931167	0.53	0.221	2.21145748183117e-200	3	COTL1
ITGAX	4.13980000499438e-200	0.329265259277169	0.328	0.091	7.45743572899688e-196	3	ITGAX
FTH11	2.37826797059029e-193	0.609352614883928	0.902	0.694	4.28421192222135e-189	3	FTH1
IFI301	2.40587896990085e-187	0.416639980992957	0.448	0.161	4.3339503763794e-183	3	IFI30
FCER1G1	9.03886418395212e-178	0.423906736530052	0.504	0.21	1.62826099409713e-173	3	FCER1G
IGSF6	3.63665962985102e-177	0.330209756406574	0.331	0.1	6.55107865721363e-173	3	IGSF6
LST11	6.23273132229248e-177	0.452517343506988	0.561	0.26	1.12276422039777e-172	3	LST1
TYROBP1	7.62787916699167e-168	0.453042583089991	0.723	0.402	1.37408615314188e-163	3	TYROBP
CTSH1	2.92027020307902e-155	0.325612288309471	0.374	0.133	5.26057474382655e-151	3	CTSH
HLA-DMA	1.73169796587524e-152	0.343423478011686	0.39	0.15	3.11948071572765e-148	3	HLA-DMA
CTSS1	1.35077108678643e-147	0.615890115572186	0.725	0.442	2.43327903573708e-143	3	CTSS
ACTB1	1.21036394692379e-144	0.450327031778501	0.97	0.928	2.18034961398852e-140	3	ACTB
FTH1P3	4.15300488258111e-142	0.410120504313778	0.559	0.288	7.48122299548162e-138	3	FTH1P3
AIF11	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	AIF1
PAK1	7.26793128873906e-114	0.274496195977342	0.326	0.129	1.30924514235345e-109	3	PAK1
PSAP1	9.37814572163718e-103	0.463587950897595	0.697	0.452	1.68937917029572e-98	3	PSAP
AHR1	9.4430110503442e-102	0.348815270701588	0.427	0.21	1.701064010609e-97	3	AHR
AHNAK1	1.47248360207058e-97	0.362205887584028	0.625	0.378	2.65253196076995e-93	3	AHNAK
MS4A6A1	2.71316497813076e-97	0.408414692539223	0.396	0.194	4.88749539160475e-93	3	MS4A6A
CRIP1	1.23379064003002e-90	0.425775879439928	0.493	0.275	2.22255045895009e-86	3	CRIP1
MS4A71	2.01559240885795e-90	0.310767586600527	0.294	0.122	3.63088816531671e-86	3	MS4A7
GABARAP	3.80898453826495e-79	0.285303687399905	0.497	0.296	6.86150474723048e-75	3	GABARAP
OGFRL1	3.71525311641246e-78	0.262596752188191	0.317	0.147	6.6926569639054e-74	3	OGFRL1
RAB11FIP1	7.85459524972267e-78	0.252584592825209	0.334	0.158	1.41492678828504e-73	3	RAB11FIP1
S100A41	7.30297048131225e-75	0.338312351016047	0.738	0.55	1.31555710250359e-70	3	S100A4
TXNIP1	5.11242107642936e-74	0.343404942292407	0.769	0.607	9.20951532707984e-70	3	TXNIP
S100A61	1.12381548120875e-72	0.289451606042853	0.721	0.501	2.02444120784944e-68	3	S100A6
DBI	2.35829799977091e-69	0.356111382256993	0.577	0.397	4.24823801678732e-65	3	DBI
SAT11	5.35600329015691e-68	0.393609651959392	0.589	0.388	9.64830432688865e-64	3	SAT1
LCP11	5.55881976223224e-68	0.271535322915974	0.793	0.601	1.00136579196852e-63	3	LCP1
LGALS11	1.39985600108081e-64	0.302106026197981	0.605	0.403	2.52170060034697e-60	3	LGALS1
PTPRC1	1.98726927857307e-57	0.291961923700993	0.729	0.556	3.57986687842153e-53	3	PTPRC
VIM1	1.25820436582333e-56	0.270059799025455	0.84	0.646	2.26652934459415e-52	3	VIM
GPX1	7.5700071348206e-55	0.322571471233443	0.657	0.512	1.36366108526658e-50	3	GPX1
FTL1	1.23026198071713e-53	0.316702149440901	0.929	0.857	2.21619393206383e-49	3	FTL
MYL12A	5.25305174846468e-49	0.256037568932578	0.669	0.515	9.46284741968428e-45	3	MYL12A
CALM2	9.14988275074865e-48	0.314893180873314	0.724	0.633	1.64825987871986e-43	3	CALM2
CD521	1.72712435963328e-45	0.26278918524323	0.588	0.423	3.11124182144338e-41	3	CD52
SNORA109	1.00358048377296e-19	0.334771152245973	0.658	0.566	1.80784988346861e-15	3	SNORA109
HIST1H4C	0	1.44965653001152	0.921	0.456	0	4	HIST1H4C
HIST1H1B	0	1.12977853854342	0.762	0.16	0	4	HIST1H1B
TOP2A	0	1.12536721530965	0.751	0.103	0	4	TOP2A
HMGB21	0	0.982916142518101	0.956	0.564	0	4	HMGB2
CENPF	0	0.958466405048712	0.686	0.135	0	4	CENPF
MKI67	0	0.957739650007208	0.733	0.113	0	4	MKI67
TUBB	0	0.946136548363866	0.875	0.293	0	4	TUBB
STMN1	0	0.941275480369594	0.875	0.29	0	4	STMN1
TUBA1B	0	0.904636460861132	0.864	0.3	0	4	TUBA1B
HMGB1	0	0.876085331866541	0.982	0.75	0	4	HMGB1
HMGN2	0	0.85922871713678	0.933	0.528	0	4	HMGN2
NUSAP1	0	0.778083180146751	0.672	0.105	0	4	NUSAP1
PCLAF	0	0.714850470220326	0.699	0.165	0	4	PCLAF
H2AFZ	0	0.673883754842814	0.808	0.342	0	4	H2AFZ
ASPM	0	0.602267969448477	0.471	0.061	0	4	ASPM
TPX2	0	0.536442638299878	0.517	0.073	0	4	TPX2
CKS1B	0	0.440805368403114	0.49	0.103	0	4	CKS1B
