p_val	avg_log2FC	pct.1	pct.2	p_val_adj	threshold
RPS15A	9.57714646665199e-288	-0.413357004190513	0.981	0.993	1.72522716450269e-283	Down
RPS7	1.83891418828702e-285	-0.521011439647707	0.877	0.949	3.31262001878024e-281	Down
RPS2	2.13298893021905e-280	-0.61921102411265	0.824	0.928	3.8423662588966e-276	Down
TMSB10	2.82886635169211e-280	0.533627689929101	0.97	0.932	5.09591984593816e-276	Up
RPL7	3.88710350290303e-278	-0.457912073784887	0.927	0.972	7.00222825012951e-274	Down
RPS3	5.47899620301484e-276	-0.62151327789187	0.819	0.916	9.86986376011094e-272	Down
PTPRC	8.78391048026017e-270	0.825047482428038	0.678	0.461	1.58233363391407e-265	Up
RPL13	4.46557051401235e-268	-0.441567881551339	0.984	0.996	8.04427872394185e-264	Down
JUN	4.64546768059005e-267	2.24591324720527	0.336	0.141	8.36834547981491e-263	Up
PCNP	1.69967265195988e-264	-0.509762439051955	0.894	0.958	3.06179031524054e-260	Down
RPL18A	1.17914087013586e-262	-0.561775242440781	0.89	0.957	2.12410436346274e-258	Down
RPL32	1.70525061352106e-258	-0.392823167274024	0.969	0.99	3.07183845519685e-254	Down
RPL37A	4.40465920991326e-257	-0.437995867637676	0.946	0.978	7.93455310073776e-253	Down
B2M	1.5863565916729e-253	0.453085795737394	0.995	0.982	2.85766276423956e-249	Up
STMN1	2.44551051719986e-252	-1.05809579291412	0.212	0.441	4.40534264568382e-248	Down
RPL26	7.74009529228005e-252	-0.401974420536808	0.979	0.993	1.39430076595133e-247	Down
CYBB	7.11824951308112e-251	1.49451969800073	0.356	0.154	1.28228146728643e-246	Up
FCER1G	4.46292924322937e-246	1.52145580086516	0.331	0.137	8.0395207387534e-242	Up
MNDA	1.12154468406452e-245	1.30725265483223	0.43	0.223	2.02035059387382e-241	Up
UBC	5.33065051166608e-245	0.952342725636254	0.701	0.551	9.60263383171528e-241	Up
SRGN	5.96699793942583e-244	1.00097808420392	0.881	0.722	1.07489500880817e-239	Up
PRSS57	5.34408348892837e-243	-1.75117891056088	0.08	0.254	9.62683199695556e-239	Down
STK17B	2.95058004301992e-242	0.982917295668871	0.563	0.356	5.31517488949608e-238	Up
RPL7A	3.41284106176194e-242	-0.5285046615725	0.777	0.891	6.14789188865795e-238	Down
PTMA	6.86023776847033e-241	-0.434409554248421	0.951	0.979	1.23580323161224e-236	Down
LMNA	2.15882433140268e-239	2.16171560859179	0.233	0.07	3.88890615058878e-235	Up
RPL4	3.07457541327245e-239	-0.413538906501244	0.939	0.974	5.538540149469e-235	Down
CRIP1	8.93182354825574e-239	1.50185698266439	0.391	0.194	1.60897869398279e-234	Up
RPS14	7.51656302148975e-237	-0.382071890918017	0.985	0.995	1.35403366269116e-232	Down
RPS29	2.30020833707905e-236	-0.327057459766877	0.985	0.996	4.1435952984142e-232	Down
S100A4	1.52403416512116e-233	0.878012802044594	0.653	0.478	2.74539514504926e-229	Up
RPLP0P2	4.01260220050811e-233	-0.700265097829757	0.513	0.712	7.22830160399531e-229	Down
RPL27A	8.5512712063641e-233	-0.346718460245216	0.984	0.994	1.54042599511443e-228	Down
MCL1	4.34443877961212e-231	1.27589030643244	0.459	0.264	7.82607201759328e-227	Up
RPS19	2.0089488807901e-228	-0.406501118727164	0.952	0.988	3.61892051385529e-224	Down
CXCL8	2.84525990898923e-228	3.4821772305022	0.179	0.04	5.12545120005319e-224	Up
CD68	5.00495192798211e-228	1.74352781925889	0.261	0.091	9.01592040306697e-224	Up
RPS4X	1.20498587778067e-225	-0.453527601414483	0.878	0.945	2.1706615602341e-221	Down
GAS5	4.77807625413679e-225	-0.804050434446284	0.452	0.654	8.60722656420202e-221	Down
FGL2	4.27888406612996e-224	1.76362389001176	0.273	0.102	7.70798175672651e-220	Up
RPL15	3.69535105622827e-223	-0.393839461111731	0.974	0.991	6.65680539268961e-219	Down
TSC22D3	2.73871515098925e-217	1.17749748364818	0.427	0.232	4.93352147299204e-213	Up
ZFP36	3.47393034384462e-217	1.51461528243189	0.33	0.148	6.2579381214017e-213	Up
TYROBP	8.54458344377047e-214	0.996540738998147	0.526	0.331	1.53922126156081e-209	Up
RPL24	6.68455966243185e-213	-0.392609122727774	0.913	0.963	1.20415657759047e-208	Down
PPP1R15A	1.64856631459254e-212	1.3617219001575	0.398	0.215	2.96972735910701e-208	Up
RPL39	1.84915614670487e-212	-0.358795229789283	0.977	0.991	3.33106988267415e-208	Down
RPL13AP5	3.2373686650203e-212	-0.42291281247249	0.906	0.964	5.83179591316756e-208	Down
RPL12	1.00942064835984e-211	-0.406458150517984	0.962	0.989	1.81837035595542e-207	Down
RPL35A	1.50203643324058e-211	-0.358252374736027	0.97	0.989	2.70576843083958e-207	Down
RPS10	1.89188138537981e-211	-0.437535962085639	0.893	0.951	3.40803512762319e-207	Down
RPS25	1.90100539953424e-211	-0.370547371327291	0.985	0.995	3.42447112672099e-207	Down
PAICS	1.398559167761e-207	-1.41468171090785	0.12	0.293	2.51936448480466e-203	Down
EEF1G	1.19801608152506e-206	-0.452966126833993	0.826	0.908	2.15810616925924e-202	Down
BTG1	7.83586019140715e-204	1.26780202044037	0.393	0.208	1.41155185488008e-199	Up
ANXA2	1.1917587742184e-200	1.2133109565454	0.371	0.187	2.14683425587703e-196	Up
DUSP1	1.68908815358532e-197	1.63857543000409	0.316	0.149	3.0427233998686e-193	Up
MAFB	2.01184059922063e-196	3.64148694720108	0.118	0.014	3.62412965543604e-192	Up
NCF2	1.85481930925579e-195	1.83017193525619	0.219	0.073	3.34127150369337e-191	Up
RPS11	4.76254370497687e-193	-0.366043476852568	0.962	0.988	8.57924623014534e-189	Down
NCL	4.78224856403544e-192	-0.706066222018305	0.562	0.728	8.61474256325344e-188	Down
NEAT1	6.24063291195579e-192	1.35897145356123	0.54	0.375	1.12418761275972e-187	Up
DUT	1.86379138501727e-189	-0.987357126661979	0.267	0.457	3.35743380097011e-185	Down
TNFAIP2	8.77766729733451e-188	1.74063679329706	0.246	0.096	1.58120898694184e-183	Up
FOS	3.81311870588062e-185	1.10860559224128	0.488	0.314	6.86895203677334e-181	Up
RPL41	4.31707765656083e-185	-0.318795442296571	0.979	0.994	7.77678369052868e-181	Down
PA2G4	4.5432570975131e-183	-0.940631303937554	0.267	0.453	8.1842233354601e-179	Down
RPL27	1.39573671383344e-182	-0.326100652328803	0.973	0.987	2.51428011629957e-178	Down
HMGA1	3.22516055184108e-181	-1.080120042601	0.184	0.361	5.80980421808652e-177	Down
MS4A6A	4.91697947606145e-180	1.38889773721364	0.29	0.13	8.85744682817709e-176	Up
NFKBIA	6.48056693313117e-180	1.42937441585491	0.434	0.267	1.16740932733425e-175	Up
LAPTM5	9.09426621669728e-180	0.895098250854482	0.519	0.343	1.63824111627585e-175	Up
RPS15	1.74120845173303e-176	-0.407605339659672	0.845	0.922	3.13661290495188e-172	Down
MARCKS	1.44874256058711e-174	2.28844984419376	0.172	0.05	2.60976484864161e-170	Up
NASP	2.06140018256921e-174	-0.918428112745868	0.236	0.42	3.71340628888018e-170	Down
LDHB	1.77468212468822e-173	-0.746087540516461	0.34	0.53	3.19691237941336e-169	Down
RPL34	1.43485534224988e-172	-0.293759547087219	0.986	0.996	2.58474841352894e-168	Down
RPL22	2.73672530807438e-172	-0.358465951670807	0.874	0.944	4.92993696996519e-168	Down
RPS20	3.24679885853549e-172	-0.307834770931252	0.982	0.993	5.84878346376583e-168	Down
C1QBP	5.84669014099763e-172	-1.01230156304917	0.202	0.377	1.05322276199931e-167	Down
PPIA	6.41996417513248e-172	-0.583271812615993	0.585	0.739	1.15649234650837e-167	Down
JUNB	6.53496796154777e-171	1.238724509478	0.342	0.178	1.17720912859322e-166	Up
TAPT1-AS1	1.16951624909187e-170	-0.660281694556103	0.413	0.607	2.10676657111409e-166	Down
BCL2A1	1.27796394687267e-170	2.4595735952197	0.152	0.038	2.30212425389643e-166	Up
HLA-B	1.88632456427631e-170	0.498305598764711	0.838	0.717	3.39802507008734e-166	Up
RPL19	2.5052617905511e-170	-0.318164715950329	0.978	0.991	4.51297858949876e-166	Down
EVI2B	5.18669940292884e-170	1.08508498165822	0.396	0.226	9.34332030443602e-166	Up
IQGAP1	1.26728031736805e-168	0.836243915275014	0.529	0.36	2.2828787637068e-164	Up
RPSAP58	1.46214447057615e-168	-0.731284370844614	0.332	0.523	2.63390704929588e-164	Down
IGLL1	7.77508268401429e-168	-2.02737908618151	0.04	0.154	1.40060339469833e-163	Down
TUBB	9.02664948239062e-168	-0.895674306807547	0.24	0.42	1.62606063775785e-163	Down
SERBP1	5.07464710669309e-167	-0.680795561773588	0.477	0.651	9.14146929799693e-163	Down
ADA2	6.79742257649813e-167	1.58406394711717	0.24	0.099	1.22448770293037e-162	Up
RPL36A	1.61573028871491e-166	-0.320994509818194	0.964	0.984	2.91057654209104e-162	Down
RPL8	2.98273611731719e-166	-0.553789521534526	0.616	0.766	5.37310084173519e-162	Down
PCLAF	3.71240717032041e-164	-1.25270773556591	0.123	0.275	6.68753027661519e-160	Down
RPL29	1.89810763324479e-163	-0.504523328778922	0.651	0.795	3.41925109052717e-159	Down
RPS18P9	4.89390077157398e-163	-0.712635856060047	0.424	0.605	8.81587284991337e-159	Down
SERPINA1	1.19784982567479e-162	2.50342788480912	0.121	0.023	2.15780667597057e-158	Up
HMGB1	2.40776206914468e-162	-0.611246553741565	0.706	0.823	4.33734259135722e-158	Down
NME1	1.8445278503987e-161	-1.34607903160691	0.098	0.24	3.32273246970822e-157	Down
NAMPT	1.89780325208099e-161	1.96640918137349	0.243	0.106	3.4187027782987e-157	Up
LCP1	1.96037761219822e-161	0.636097179591738	0.685	0.548	3.53142423061388e-157	Up
RPS13	7.64029481791121e-160	-0.355671163229118	0.955	0.981	1.37632270849853e-155	Down
APEX1	4.37572894506899e-159	-0.867134189437594	0.236	0.412	7.88243812164728e-155	Down
RANBP1	1.20909836022383e-157	-1.04476931767804	0.168	0.33	2.17806978610721e-153	Down
CLEC7A	1.87722209723367e-157	2.35928115056683	0.129	0.028	3.38162788595672e-153	Up
RAN	3.62950377053151e-157	-0.821277187215913	0.301	0.476	6.53818809223546e-153	Down
ITGB2	1.77934215740872e-156	1.03462377137477	0.384	0.222	3.20530696235606e-152	Up
NAP1L1	1.12066566791255e-154	-0.554634969814035	0.585	0.735	2.01876713417767e-150	Down
RPS28	3.17220775152316e-154	-0.458515541959296	0.729	0.85	5.71441504359383e-150	Down
S100A11	7.04011132461896e-153	1.59469052613275	0.204	0.077	1.26820565401686e-148	Up
CTSB	8.98537008786025e-153	1.23699433259038	0.317	0.166	1.61862456762714e-148	Up
CAPN2	1.19606111497519e-152	1.49912032563793	0.222	0.089	2.15458449251631e-148	Up
PEBP1	1.53550053845643e-152	-0.766975540143268	0.273	0.452	2.76605066997542e-148	Down
TPM3	5.15801079781884e-152	0.463743082474319	0.861	0.792	9.29164065119085e-148	Up
AIF1	2.1585459172939e-149	0.881800696598961	0.599	0.473	3.88840461541324e-145	Up
VMP1	6.8277899868873e-149	1.47476141135506	0.312	0.168	1.22995808823788e-144	Up
RPS16	7.51602771568602e-147	-0.399709586901993	0.884	0.939	1.35393723270368e-142	Down
MPEG1	3.70134165685336e-144	1.70569461811714	0.173	0.059	6.66759686065564e-140	Up
RPL36	4.33088457337637e-144	-0.451677583274288	0.631	0.778	7.80165547048019e-140	Down
C5AR1	5.41110968494312e-144	3.03866504838574	0.09	0.011	9.74757298645654e-140	Up
CD14	1.4588845384333e-143	2.6649199085428	0.103	0.018	2.62803460753375e-139	Up
CST3	2.84371516401642e-143	0.980157002261407	0.422	0.265	5.12266849645917e-139	Up
ANXA5	3.94921680616884e-143	1.16296121550882	0.302	0.157	7.11411915463255e-139	Up
RPL30	2.44092009823593e-141	-0.281507296850108	0.975	0.989	4.3970734649622e-137	Down
RPLP1	8.3930380793339e-141	-0.342119850958864	0.993	0.997	1.51192187961121e-136	Down
S100A12	2.69121015439066e-140	2.52130782672259	0.123	0.03	4.84794597211934e-136	Up
KLF4	1.43241809003612e-138	1.77053057228606	0.17	0.059	2.58035794739107e-134	Up
RPL18	1.74904575552624e-138	-0.513560656434327	0.613	0.751	3.15073102400497e-134	Down
LST1	1.24641223450025e-137	0.996215086098658	0.36	0.208	2.24528699922875e-133	Up
RPLP2	1.29579095752045e-137	-0.348784185575573	0.927	0.967	2.33423783087733e-133	Down
SAMHD1	4.13967341650704e-137	0.863655287534665	0.393	0.232	7.45720769249579e-133	Up
LYST	7.58794773233702e-137	0.928082458385876	0.443	0.293	1.36689290450319e-132	Up
CSTA	8.08663012463415e-137	0.942486427708472	0.418	0.267	1.4567255506516e-132	Up
MS4A7	4.56891732805451e-136	1.55374030639422	0.195	0.077	8.23044767475739e-132	Up
HINT1	5.12136806194174e-136	-0.505132131431825	0.585	0.733	9.22563242678185e-132	Down
FYB1	3.97839065498756e-135	1.00944828925759	0.333	0.185	7.16667292589459e-131	Up
RPL37	9.04001853445806e-135	-0.301754040256212	0.936	0.97	1.62846893879727e-130	Down
VSIR	1.68197404058811e-134	1.26455401570372	0.274	0.139	3.02990803671542e-130	Up
MCM4	1.36321176244249e-133	-1.31658802606127	0.089	0.212	2.45568966886391e-129	Down
SNRPD2	9.1168155002171e-133	-0.568770841132665	0.414	0.585	1.64230314420911e-128	Down
RPL23	9.50470559328804e-133	-0.301483767297328	0.954	0.98	1.71217766557491e-128	Down
RPL38	1.14583012274877e-130	-0.376595678113282	0.784	0.878	2.06409838311964e-126	Down
NFKBIZ	1.1286420140803e-129	1.47254154684267	0.238	0.113	2.03313572416425e-125	Up
NOP56	1.13353233484507e-129	-0.99615880333729	0.166	0.31	2.04194514798991e-125	Down
NUCB2	5.60477956431663e-129	-0.687604487981834	0.34	0.507	1.009644990716e-124	Down
TXNIP	1.55388137818169e-128	0.708249108028158	0.673	0.567	2.79916191465649e-124	Up
DSE	3.40330605386926e-127	-0.659888912382512	0.302	0.468	6.13071552544008e-123	Down
BCL6	3.6871089483429e-127	2.37810410638409	0.106	0.023	6.6419580595449e-123	Up
NME2	4.10050810463703e-127	-0.620015727296464	0.362	0.527	7.38665529969315e-123	Down
CTSH	6.67124432514798e-127	1.36049028978358	0.212	0.093	1.20175795273216e-122	Up
PLBD1	1.12190867991113e-126	2.27858664473221	0.117	0.03	2.02100629599192e-122	Up
RGS2	1.93589493431548e-126	1.60145509327878	0.207	0.091	3.48732113467591e-122	Up
HSPE1	1.10925540816024e-125	-0.977285345166324	0.181	0.322	1.99821269225986e-121	Down
RPL23A	1.65275980214782e-125	-0.304700593047807	0.887	0.947	2.97728150758909e-121	Down
PLIN2	1.76981119687317e-125	1.89065796204296	0.27	0.146	3.18813789004732e-121	Up
CDCA7L	2.28349990404765e-125	-1.23408558119102	0.087	0.206	4.11349672715145e-121	Down
SNRPE	6.50077093441499e-125	-0.77291662016239	0.237	0.394	1.17104887612552e-120	Down
SNRPD1	1.19054707178442e-124	-0.849121801444064	0.184	0.331	2.14465149511246e-120	Down
LGALS1	5.16491154767606e-123	0.593858918393701	0.502	0.337	9.30407166198366e-119	Up
PRTN3	1.12138125388819e-122	-2.26411040740807	0.035	0.124	2.02005619075419e-118	Down
NUCKS1	3.3682165310162e-122	-0.605139072801613	0.356	0.522	6.06750525897258e-118	Down
MYC	4.58184583415952e-122	-1.64683234494978	0.051	0.15	8.25373708565497e-118	Down
ATP2B1-AS1	5.79130048506474e-122	1.96270329126338	0.132	0.04	1.04324486937956e-117	Up
BTF3	2.753451894068e-121	-0.435444561434612	0.643	0.774	4.96006824197409e-117	Down
COTL1	3.79878799993365e-121	1.11082995124009	0.312	0.179	6.84313670308048e-117	Up
PCNA	1.12970736646344e-120	-1.10649848351737	0.103	0.225	2.03505484994724e-116	Down
CCT2	1.2428216855697e-120	-0.940368032137433	0.15	0.286	2.23881898438525e-116	Down
FABP5	3.19761626061391e-120	-0.932096475915745	0.183	0.324	5.7601859318699e-116	Down
FTH1P3	1.24094687496862e-119	1.01321691144255	0.377	0.243	2.23544170056847e-115	Up
SCPEP1	2.60722390105365e-119	1.35918898940341	0.222	0.104	4.69665313535805e-115	Up
ARL4A	2.61523009518691e-119	1.38560607652839	0.257	0.135	4.71107549346969e-115	Up
IL17RA	4.91869230668821e-119	1.42926484035971	0.191	0.081	8.86053232126814e-115	Up
CD44	1.21626862874448e-118	0.859854912598839	0.426	0.288	2.19098630782031e-114	Up
MCM3	1.65454674762565e-118	-1.264969744284	0.078	0.188	2.98050051117285e-114	Down
MIF-AS1	1.79644299975866e-117	-0.932897304122318	0.175	0.312	3.23611241976524e-113	Down
HSPA8	2.66026526416294e-117	-0.580970919642257	0.427	0.584	4.79220184686313e-113	Down
MPO	1.86961822000844e-116	-1.45504214448353	0.162	0.285	3.36793026152321e-112	Down
RPL10	3.83770177456541e-116	-0.264204241323573	0.968	0.986	6.91323597670213e-112	Down
KCTD12	4.77851846704129e-116	1.55476276925834	0.163	0.062	8.60802316652817e-112	Up
CDCA7	1.0431012747227e-115	-1.76296068264147	0.036	0.123	1.87904263628548e-111	Down
LOC100506844	1.51260155909926e-115	-0.920212911852694	0.147	0.279	2.7248004485614e-111	Down
RACK1	1.54766812345194e-115	-0.340819982426844	0.857	0.913	2.78796935758632e-111	Down
CCT6A	2.55464228369502e-115	-0.825642513469531	0.236	0.38	4.60193260984821e-111	Down
KIT	1.5598157244376e-114	-1.22745143391102	0.068	0.173	2.8098520460019e-110	Down
TYMP	1.62882006505106e-114	1.59322180472607	0.162	0.062	2.93415646518299e-110	Up
C1orf162	4.41399747736874e-114	1.37885336375792	0.19	0.082	7.95137505573205e-110	Up
IMPDH2	6.41647538501809e-112	-1.22225044475405	0.083	0.192	1.15586387585716e-107	Down
MYADM	2.32704577261736e-111	0.962367603923415	0.349	0.218	4.19194025479291e-107	Up
POU4F1	3.67852015245437e-111	-1.94181073804973	0.023	0.098	6.62648620263131e-107	Down
CENPU	7.69054512616769e-110	-1.11957472387915	0.104	0.218	1.38537479902785e-105	Down
IGSF6	5.29288793599143e-109	1.58007590811048	0.168	0.069	9.53460832789496e-105	Up
GRN	1.39657073202372e-108	1.07316140583838	0.292	0.168	2.51578251666753e-104	Up
C1QTNF4	1.74631873621044e-108	-2.18087220352172	0.022	0.094	3.14581857140949e-104	Down
GLIPR2	4.80362080227112e-108	1.17651622900095	0.219	0.106	8.6532425132112e-104	Up
CBX5	6.82411164639098e-108	-0.925857441973823	0.157	0.284	1.22929547198087e-103	Down
AHR	2.43742801154735e-107	1.07793996495848	0.29	0.166	4.3907828200014e-103	Up
SOX4	2.25999070448119e-106	-0.703038647603969	0.18	0.316	4.07114725505242e-102	Down
PARP1	9.40482211463549e-106	-0.820016021455917	0.166	0.297	1.69418465573044e-101	Down
DHFR	5.44543603868642e-105	-1.00103237842008	0.113	0.229	9.80940848008972e-101	Down
FGR	2.03638223426231e-104	1.58287981218904	0.142	0.052	3.66833895680013e-100	Up
RHOB	3.8927235087269e-104	1.81721838880307	0.138	0.05	7.01235212862063e-100	Up
GPCPD1	2.02973380517194e-103	1.08632722281709	0.275	0.156	3.65636247663673e-99	Up
TLR4	2.27405224973441e-103	1.62789141731582	0.147	0.057	4.09647772267156e-99	Up
SNHG3	2.4661374880068e-103	-0.948641550273551	0.138	0.259	4.44250007089545e-99	Down
TUBA1B	3.71694799921827e-103	-0.707482728356846	0.265	0.406	6.69571012579179e-99	Down
SPINK2	4.08767635098147e-103	-0.997532105442292	0.14	0.261	7.36354017865801e-99	Down
CFD	7.98517894424335e-103	1.10914917115182	0.461	0.346	1.438450135016e-98	Up
PRIM1	1.67244321311133e-102	-1.05392436408709	0.096	0.205	3.01273920409875e-98	Down
MEGF9	1.98771493799382e-102	1.30296445183805	0.191	0.088	3.58066968930207e-98	Up
CDC42EP3	3.5482800498232e-102	1.50070024431635	0.169	0.073	6.39187168175151e-98	Up
CTSD	6.12874295373988e-101	1.18196105683523	0.261	0.147	1.1040317556867e-96	Up
AP1S2	6.78253024843112e-101	1.1598069096668	0.235	0.123	1.22180499895238e-96	Up
CLEC2D	6.99472831006014e-100	-0.575997308633601	0.284	0.431	1.26003035777423e-95	Down
EBPL	7.1599582096259e-100	-1.11257955706305	0.089	0.193	1.28979487188201e-95	Down
GPR183	1.39717925259195e-99	1.33206568910521	0.213	0.108	2.51687870561913e-95	Up
SNHG8	1.30564894520692e-98	-0.551957039077366	0.339	0.488	2.35199600989574e-94	Down
ACTB	1.58537691404774e-98	0.353464218589223	0.941	0.922	2.8558979729656e-94	Up
CCT4	2.76416486714477e-98	-0.803852368505193	0.175	0.301	4.97936659167458e-94	Down
H2AFZ	3.09074479209036e-98	-0.601241498104495	0.301	0.442	5.56766766847158e-94	Down
SET	1.28951078735866e-97	-0.481073080195347	0.468	0.612	2.3229247323479e-93	Down
IFNGR1	2.00955100669388e-97	1.14096365572164	0.254	0.142	3.62000518345836e-93	Up
PTPRE	2.96764914059078e-97	1.04536356659209	0.27	0.154	5.34592316186024e-93	Up
DMXL2	7.30634856816032e-97	1.35832526969037	0.184	0.086	1.3161656310684e-92	Up
CR1	1.19776645939538e-96	2.36083499077242	0.082	0.018	2.15765649995483e-92	Up
CD55	2.58751088354411e-96	1.0332703738813	0.26	0.146	4.66114210561637e-92	Up
LGALS2	4.06202885550357e-96	2.06799134775983	0.094	0.025	7.31733878030413e-92	Up
CD163	4.9885974563235e-96	2.41090333016329	0.083	0.019	8.98645945782115e-92	Up
ATP5A1	5.29887615147801e-96	-0.605754934561985	0.279	0.42	9.54539549927249e-92	Down
CXCR4	6.06450212873826e-96	0.880274122734522	0.327	0.204	1.09245941347091e-91	Up
NOP58	1.19692877601291e-95	-0.699264497940899	0.244	0.376	2.15614749710966e-91	Down
MTRNR2	1.47412613786695e-95	0.262232884126891	1	1	2.65549082475352e-91	Up
MCM6	2.56916411297938e-95	-1.29106914818431	0.058	0.146	4.62809223312105e-91	Down
LILRB3	4.77107826402023e-95	1.96848465916552	0.093	0.025	8.59462038480604e-91	Up
FPR1	5.49315534772009e-95	2.59023862877499	0.073	0.014	9.89537004338298e-91	Up
LRPPRC	5.70359852750521e-95	-0.88605593203652	0.149	0.267	1.02744623874479e-90	Down
ITGAX	7.05026012136054e-95	1.38791261009225	0.155	0.065	1.27003385826189e-90	Up
MYB	1.3031390967403e-94	-0.825725495598369	0.163	0.283	2.34747476886798e-90	Down
YWHAZ	4.08380755061151e-94	0.475722485740713	0.689	0.592	7.35657092167157e-90	Up
NHP2	7.89188002952746e-94	-0.857406361459642	0.139	0.254	1.42164326851908e-89	Down
PTAFR	1.76333909381637e-93	1.55953058586228	0.138	0.054	3.17647904360081e-89	Up
SPN	3.75463799510646e-92	-0.575151795406198	0.332	0.471	6.76360488438478e-88	Down
RPL19P12	3.75993430370424e-92	-0.490547186613639	0.434	0.574	6.77314565469282e-88	Down
RSL1D1	4.10179045080815e-92	-0.527335029477997	0.388	0.528	7.38896531808579e-88	Down
PRKDC	4.22012973872136e-92	-0.763866763288482	0.194	0.318	7.60214171133266e-88	Down
AOAH	2.62646667030128e-91	1.4218706784602	0.14	0.056	4.73131705988072e-87	Up
LRRFIP1	1.12418666670264e-90	0.615486223346628	0.527	0.41	2.02510986139813e-86	Up
IPO5	1.13391224568638e-90	-0.995139045789165	0.103	0.205	2.04262951937944e-86	Down
TNFRSF1B	1.37675494315985e-90	1.25588461256166	0.2	0.101	2.48008635460815e-86	Up
HSP90AA1	1.20155948665434e-89	-0.450662413204004	0.665	0.765	2.16448925925914e-85	Down
RPSAP9	2.8586884297316e-89	-0.770825503024418	0.171	0.29	5.14964133731851e-85	Down
LRP1	6.01422807331292e-89	2.44048584104901	0.069	0.013	1.08340304512659e-84	Up
EIF1	2.02869214462663e-88	0.429917986092596	0.727	0.652	3.65448602933041e-84	Up
CEBPD	1.92534835045842e-87	1.26961205051593	0.172	0.081	3.4683225185158e-83	Up
APLP2	2.48990966567803e-87	0.752017006252758	0.575	0.496	4.4853232717524e-83	Up
TFDP2	5.03576661295876e-87	-0.804732284123123	0.138	0.248	9.07142997658391e-83	Down
OGFRL1	8.93778748322545e-87	1.12338975162087	0.211	0.111	1.61005303722823e-82	Up
LILRB2	2.13157219534764e-86	2.16670012692631	0.086	0.023	3.83981415269925e-82	Up
HIST1H4C	3.2911578664235e-86	-0.590752209394303	0.42	0.551	5.9286917805753e-82	Down
