Tag	from	to	cor	p.adj	col	p.signif
25	CLEC11A	Cisplatin_1005	0.249503444414552	0.00391307922266227	positive	**
26	CLEC11A	AZD7762_1022	0.0356631397108375	0.684764376548277	positive	
27	CLEC11A	Doramapimod_1042	0.346848297731428	4.61525833682351e-05	positive	****
28	CLEC11A	BI.2536_1086	0.0219050813131951	0.803123742953449	positive	
29	CLEC11A	PF.4708671_1129	-0.0270402991691075	0.758256718570706	negative	
30	CLEC11A	Entinostat_1593	0.093876442565314	0.284319522927737	positive	
31	CLEC11A	JAK_8517_1739	-0.0232305368549452	0.791475022290704	negative	
32	CLEC11A	ABT737_1910	0.0159097052938572	0.856319295006577	positive	
33	ITGA4	Cisplatin_1005	-0.122460210466262	0.16185806182206	negative	
34	ITGA4	AZD7762_1022	-0.0439564429879812	0.61675140979066	negative	
35	ITGA4	Doramapimod_1042	-0.294362300524645	0.000612470363398207	negative	**
36	ITGA4	BI.2536_1086	-0.373161238958765	1.04921676663826e-05	negative	****
37	ITGA4	PF.4708671_1129	0.150592238342395	0.0847872259253459	positive	
38	ITGA4	Entinostat_1593	-0.275583051995667	0.00138259630557695	negative	**
39	ITGA4	JAK_8517_1739	-0.509653260460442	4.3417686005772e-10	negative	****
40	ITGA4	ABT737_1910	-0.329435446477945	0.000114708572922254	negative	**
41	RPL39L	Cisplatin_1005	-0.219163451149906	0.0115757159664282	negative	*
42	RPL39L	AZD7762_1022	-0.158572195941888	0.069364843066872	negative	
43	RPL39L	Doramapimod_1042	0.101985029868239	0.244581652945249	positive	
44	RPL39L	BI.2536_1086	0.00567079283845792	0.948545604061752	positive	
45	RPL39L	PF.4708671_1129	-0.0448284541059257	0.609772811417936	negative	
46	RPL39L	Entinostat_1593	0.283919447314517	0.000969869138067866	positive	**
47	RPL39L	JAK_8517_1739	0.22217286257349	0.0104558638974698	positive	*
48	RPL39L	ABT737_1910	0.207581257897665	0.0169256288231266	positive	*
49	MX1	Cisplatin_1005	-0.230818526425421	0.00775081236291873	negative	**
50	MX1	AZD7762_1022	-0.0464849243587588	0.59661281540887	negative	
51	MX1	Doramapimod_1042	-0.116911370150293	0.181870829366064	negative	
52	MX1	BI.2536_1086	0.38799832237362	4.29117404248544e-06	positive	****
53	MX1	PF.4708671_1129	-0.33790173046312	7.41790192745914e-05	negative	****
54	MX1	Entinostat_1593	0.166107788238772	0.0569717139555349	positive	
55	MX1	JAK_8517_1739	-0.0210463507158844	0.810693985154554	negative	
56	MX1	ABT737_1910	0.124020131592351	0.156539503856828	positive	
57	HEXIM1	Cisplatin_1005	-0.185033110958992	0.0336679835475268	negative	*
58	HEXIM1	AZD7762_1022	-0.14140633453988	0.105809111274875	negative	
59	HEXIM1	Doramapimod_1042	0.103414768745323	0.237995706082102	positive	
60	HEXIM1	BI.2536_1086	0.27390963428285	0.00148264766985717	positive	**
61	HEXIM1	PF.4708671_1129	-0.393934355557099	2.96386886808679e-06	negative	****
62	HEXIM1	Entinostat_1593	0.447212980036846	7.62408642581807e-08	positive	****
63	HEXIM1	JAK_8517_1739	-0.0754819975192478	0.389677796527162	negative	
64	HEXIM1	ABT737_1910	0.179480038076434	0.0394742764766259	positive	*
65	MAP4K4	Cisplatin_1005	-0.0187767650602554	0.830784441014544	negative	
66	MAP4K4	AZD7762_1022	0.0453872533206612	0.605319126284684	positive	
67	MAP4K4	Doramapimod_1042	-0.291642508787911	0.000691523745597779	negative	**
68	MAP4K4	BI.2536_1086	-0.144149236679088	0.0991433623861566	negative	
69	MAP4K4	PF.4708671_1129	-0.164585624188627	0.0593163367371571	negative	
70	MAP4K4	Entinostat_1593	0.13758634435034	0.115671736812747	positive	
71	MAP4K4	JAK_8517_1739	-0.19613114887952	0.0242036844409695	negative	*
72	MAP4K4	ABT737_1910	0.0748065329306526	0.393946401735402	positive	
73	RiskScore	Cisplatin_1005	-0.387200645108834	4.50750568725976e-06	negative	****
74	RiskScore	AZD7762_1022	-0.324756555844233	0.000145171259467466	negative	**
75	RiskScore	Doramapimod_1042	0.320780967566528	0.000176806715614262	positive	**
76	RiskScore	BI.2536_1086	0.471130455022525	1.18881308485379e-08	positive	****
77	RiskScore	PF.4708671_1129	-0.316905523471906	0.000213711876236458	negative	**
78	RiskScore	Entinostat_1593	0.471854411357459	1.1212615632659e-08	positive	****
79	RiskScore	JAK_8517_1739	0.308628964392276	0.000317658649258112	positive	**
80	RiskScore	ABT737_1910	0.334029805719255	9.06865730746079e-05	positive	****
